time,case00863`S1,case00863`S2
0,1.5e-15,0
0.12,1.5e-15,1.080000000000138e-17
0.24,1.5e-15,4.320000000000141e-17
0.36,1.5e-15,9.720000000000142e-17
0.48,1.5e-15,1.728000000000014e-16
0.6,1.5e-15,2.700000000000014e-16
0.72,1.5e-15,3.888000000000015e-16
0.84,1.5e-15,5.292000000000014e-16
0.96,1.5e-15,6.912000000000014e-16
1.08,1.5e-15,8.748000000000016e-16
1.2,1.5e-15,1.080000000000001e-15
1.32,1.5e-15,1.306800000000001e-15
1.44,1.5e-15,1.555200000000001e-15
1.56,1.5e-15,1.825200000000001e-15
1.68,1.5e-15,2.116800000000001e-15
1.8,1.5e-15,2.430000000000001e-15
1.92,1.5e-15,2.7648e-15
2.04,1.5e-15,3.121200000000001e-15
2.16,1.5e-15,3.499200000000001e-15
2.28,1.5e-15,3.898800000000001e-15
2.4,1.5e-15,4.320000000000001e-15
2.52,1.5e-15,4.762800000000002e-15
2.64,1.5e-15,5.227200000000002e-15
2.76,1.5e-15,5.7132e-15
2.88,1.5e-15,6.220800000000001e-15
3.,1.5e-15,6.750000000000001e-15
3.12,1.5e-15,7.300800000000002e-15
3.24,1.5e-15,7.873200000000001e-15
3.36,1.5e-15,8.4672e-15
3.48,1.5e-15,9.082800000000001e-15
3.6,1.5e-15,9.720000000000001e-15
3.72,1.5e-15,1.03788e-14
3.84,1.5e-15,1.10592e-14
3.96,1.5e-15,1.17612e-14
4.08,1.5e-15,1.24848e-14
4.2,1.5e-15,1.323e-14
4.32,1.5e-15,1.39968e-14
4.44,1.5e-15,1.47852e-14
4.56,1.5e-15,1.55952e-14
4.68,1.5e-15,1.64268e-14
4.8,1.5e-15,1.728e-14
4.92,1.5e-15,1.81548e-14
5.04,1.5e-15,1.90512e-14
5.16,1.5e-15,1.99692e-14
5.28,1.5e-15,2.09088e-14
5.4,1.5e-15,2.187e-14
5.52,1.5e-15,2.28528e-14
5.64,1.5e-15,2.38572e-14
5.76,1.5e-15,2.48832e-14
5.88,1.5e-15,2.59308e-14
6.,1.5e-15,2.7e-14
