time,S1,S2,X
0,1.,2.296253380447205E-21,0.
0.2,0.8187307482630576,0.18126925173694242,0.
0.4,0.6703200324224988,0.3296799675775011,0.
0.6000000000000001,0.5488116256587278,0.45118837434127196,0.
0.8,0.4493289564329163,0.5506710435670834,0.
1.,0.367879435510666,0.6321205644893337,0.
1.2000000000000002,0.30119420764023813,0.6988057923597615,0.
1.4000000000000001,0.24659695902428902,0.7534030409757106,0.
1.6,0.20189652387483104,0.798103476125169,0.
1.8,0.1652988932097994,0.8347011067902005,0.
2.,0.13533528826425517,0.8646647117357448,0.
2.2,0.1108031642628448,0.8891968357371551,0.
2.4000000000000004,0.9071795931905257,0.09282040680947425,0.1
2.6000000000000005,0.742735808782157,0.2572641912178428,0.1
2.8000000000000003,0.6081006469440453,0.39189935305595425,0.1
3.0000000000000004,0.4978707015792899,0.5021292984207097,0.1
3.2,0.40762205531093837,0.5923779446890614,0.1
3.4000000000000004,0.3337327130280655,0.6662672869719342,0.1
3.6000000000000005,0.2732372356422539,0.7267627643577456,0.1
3.8000000000000003,0.22370773227492616,0.7762922677250736,0.1
4.,0.1831564046869674,0.8168435953130324,0.1
4.2,0.14995578089205636,0.8500442191079436,0.1
4.4,0.12277341066298338,0.8772265893370166,0.1
4.6000000000000005,0.10051836362263893,0.8994816363773609,0.1
4.800000000000001,0.8229747730770778,0.1770252269229223,0.2
5.000000000000001,0.6737947451652194,0.3262052548347808,0.2
5.200000000000001,0.5516564792947386,0.44834352070526146,0.2
5.4,0.4516581256661998,0.5483418743338002,0.2
5.6000000000000005,0.369786398297129,0.6302136017028711,0.2
5.800000000000001,0.3027554971352282,0.6972445028647718,0.2
6.000000000000001,0.24787523604827574,0.7521247639517246,0.2
6.200000000000001,0.20294308772332806,0.7970569122766722,0.2
6.4,0.16615574659040913,0.8338442534095909,0.2
6.6000000000000005,0.1360368197403635,0.8639631802596369,0.2
6.800000000000001,0.11137752952210415,0.8886224704778961,0.2
7.,0.9118821119815146,0.08811788801848511,0.30000000000000004
7.2,0.7465859060583128,0.2534140939416869,0.30000000000000004
7.4,0.6112528393054979,0.38874716069450194,0.30000000000000004
7.6,0.5004514978878578,0.49954850211214225,0.30000000000000004
7.8,0.40973503274501405,0.5902649672549858,0.30000000000000004
8.,0.335462672952816,0.6645373270471837,0.30000000000000004
8.2,0.27465360767544816,0.7253463923245517,0.30000000000000004
8.4,0.2248673586718616,0.7751326413281382,0.30000000000000004
8.6,0.18410582704892806,0.8158941729510716,0.30000000000000004
8.8,0.1507331016220249,0.8492668983779749,0.30000000000000004
9.,0.12340982611693394,0.8765901738830658,0.30000000000000004
9.2,0.10103941790852326,0.8989605820914764,0.30000000000000004
9.4,0.8272408543453174,0.17275914565468278,0.4
9.6,0.677287502360767,0.32271249763923315,0.4
9.8,0.5545160552086185,0.4454839447913816,0.4
10.,0.4539993457961041,0.5460006542038961,0.4
