time,case00799`S1,case00799`S2,case00799`S3
0,2.5e-16,2.e-15,1.e-15
0.24,3.082354664309264e-16,2.058235466430925e-15,9.417645335690744e-16
0.48,3.630795632919136e-16,2.113079563291912e-15,8.869204367080869e-16
0.72,4.14729788647509e-16,2.164729788647507e-15,8.352702113524915e-16
0.96,4.633721406653704e-16,2.213372140665369e-15,7.8662785933463e-16
1.2,5.091817808173599e-16,2.259181780817358e-15,7.408182191826405e-16
1.44,5.523236751698872e-16,2.302323675169885e-15,6.976763248301132e-16
1.68,5.929531811584818e-16,2.34295318115848e-15,6.570468188415186e-16
1.92,6.312166151284946e-16,2.381216615128493e-15,6.187833848715058e-16
2.16,6.672517490047896e-16,2.417251749004788e-15,5.827482509952108e-16
2.4,7.011883645257942e-16,2.451188364525793e-15,5.488116354742062e-16
2.64,7.331486702929917e-16,2.48314867029299e-15,5.168513297070087e-16
2.88,7.632477521880977e-16,2.513247752188097e-15,4.867522478119027e-16
3.12,7.91593996779323e-16,2.541593996779322e-15,4.584060032206774e-16
3.36,8.18289481436894e-16,2.568289481436893e-15,4.317105185631064e-16
3.6,8.434303412423555e-16,2.593430341242354e-15,4.065696587576448e-16
3.84,8.671071318582733e-16,2.617107131858272e-15,3.82892868141727e-16
4.08,8.894050874306509e-16,2.639405087430649e-15,3.605949125693496e-16
4.32,9.104044968538211e-16,2.66040449685382e-15,3.395955031461795e-16
4.56,9.301809862992723e-16,2.680180986299271e-15,3.198190137007283e-16
4.8,9.488057881678939e-16,2.698805788167892e-15,3.011942118321066e-16
5.04,9.663459829708414e-16,2.71634598297084e-15,2.83654017029159e-16
5.28,9.828647171132342e-16,2.732864717113233e-15,2.671352828867662e-16
5.52,9.984214654477656e-16,2.748421465447764e-15,2.515785345522349e-16
5.76,1.013072250420689e-15,2.763072250420688e-15,2.369277495793108e-16
6.,1.026869840262457e-15,2.776869840262456e-15,2.231301597375427e-16
6.24,1.03986393307537e-15,2.789863933075369e-15,2.101360669246295e-16
6.48,1.052101313379218e-15,2.802101313379217e-15,1.978986866207818e-16
6.72,1.063626045279512e-15,2.81362604527951e-15,1.863739547204886e-16
6.96,1.074479604921826e-15,2.824479604921825e-15,1.75520395078174e-16
7.2,1.084701115379475e-15,2.834701115379474e-15,1.652988846205246e-16
7.44,1.094327386758036e-15,2.844327386758035e-15,1.556726132419641e-16
7.68,1.103393051777733e-15,2.853393051777731e-15,1.466069482222675e-16
7.92,1.111930763619407e-15,2.861930763619407e-15,1.380692363805924e-16
8.16,1.119971296047703e-15,2.869971296047702e-15,1.30028703952297e-16
8.4,1.127543586450963e-15,2.877543586450963e-15,1.224564135490364e-16
8.64,1.134674886537154e-15,2.884674886537154e-15,1.153251134628454e-16
8.88,1.141390891299243e-15,2.891390891299243e-15,1.086091087007566e-16
9.12,1.147715801975718e-15,2.897715801975718e-15,1.022841980242816e-16
9.36,1.153672372869442e-15,2.903672372869442e-15,9.632762713055745e-17
9.6,1.159282049757484e-15,2.909282049757483e-15,9.071795024251607e-17
9.84,1.164565050736902e-15,2.914565050736902e-15,8.543494926309766e-17
10.08,1.169540402007539e-15,2.919540402007539e-15,8.045959799246054e-17
10.32,1.174226003291482e-15,2.924226003291482e-15,7.577399670851734e-17
10.56,1.178638731010257e-15,2.928638731010257e-15,7.136126898974229e-17
10.8,1.182794490691086e-15,2.932794490691085e-15,6.720550930891397e-17
11.04,1.186708239226618e-15,2.936708239226617e-15,6.329176077338156e-17
11.28,1.190394061333046e-15,2.940394061333044e-15,5.960593866695427e-17
11.52,1.193865237203252e-15,2.943865237203251e-15,5.613476279674746e-17
11.76,1.197134271266103e-15,2.947134271266101e-15,5.286572873389704e-17
12.,1.200212931632012e-15,2.950212931632011e-15,4.978706836798757e-17
