time,sout
0,-2.692883665399068E-65
0.1,0.12500000000000003
0.2,0.5000000000000001
0.30000000000000004,1.1250000000000009
0.4,2.000000000000001
0.5,3.125000000000001
0.6000000000000001,4.500000000000003
0.7000000000000001,6.125000000000003
0.8,8.000000000000002
0.9,10.125000000000002
1.,12.500000000000002
1.1,15.125000000000004
1.2000000000000002,18.000000000000007
1.3,21.125
1.4000000000000001,24.500000000000004
1.5,28.124999999999996
1.6,32.
1.7000000000000002,36.12500000000001
1.8,40.5
1.9000000000000001,45.125
2.,49.99999999999999
2.1,55.12499999999999
2.2,60.5
2.3000000000000003,66.125
2.4000000000000004,72.
2.5,78.12499999999999
2.6,84.49999999999999
2.7,91.125
2.8000000000000003,98.
2.9000000000000004,105.125
3.,112.49999999999997
3.1,120.12499999999999
3.2,127.99999999999999
3.3000000000000003,136.125
3.4000000000000004,144.5
3.5,153.12499999999997
3.6,162.
3.7,171.125
3.8000000000000003,180.5
3.9000000000000004,190.125
4.,199.99999999999997
4.1000000000000005,210.12500000000003
4.2,220.49999999999997
4.3,231.12499999999994
4.4,242.00000000000003
4.5,253.125
4.6000000000000005,264.50000000000006
4.7,276.12500000000006
4.800000000000001,288.0000000000001
4.9,300.12500000000006
5.,312.5
