time,case00096`S1,case00096`S2
0,1.5e-015,1.5e-015
0.1,1.35726e-015,1.64274e-015
0.2,1.2281e-015,1.7719e-015
0.3,1.11123e-015,1.88877e-015
0.4,1.00548e-015,1.99452e-015
0.5,9.09796e-016,2.0902e-015
0.6,8.23217e-016,2.17678e-015
0.7,7.44878e-016,2.25512e-015
0.8,6.73993e-016,2.32601e-015
0.9,6.09854e-016,2.39015e-015
1,5.51819e-016,2.44818e-015
1.1,4.99307e-016,2.50069e-015
1.2,4.51791e-016,2.54821e-015
1.3,4.08798e-016,2.5912e-015
1.4,3.69895e-016,2.6301e-015
1.5,3.34695e-016,2.6653e-015
1.6,3.02845e-016,2.69716e-015
1.7,2.74025e-016,2.72597e-015
1.8,2.47948e-016,2.75205e-015
1.9,2.24353e-016,2.77565e-015
2,2.03003e-016,2.797e-015
2.1,1.83685e-016,2.81632e-015
2.2,1.66205e-016,2.8338e-015
2.3,1.50388e-016,2.84961e-015
2.4,1.36077e-016,2.86392e-015
2.5,1.23127e-016,2.87687e-015
2.6,1.1141e-016,2.88859e-015
2.7,1.00808e-016,2.89919e-015
2.8,9.12151e-017,2.90878e-015
2.9,8.25348e-017,2.91747e-015
3,7.46806e-017,2.92532e-015
3.1,6.75738e-017,2.93243e-015
3.2,6.11433e-017,2.93886e-015
3.3,5.53248e-017,2.94468e-015
3.4,5.00599e-017,2.94994e-015
3.5,4.52961e-017,2.9547e-015
3.6,4.09856e-017,2.95901e-015
3.7,3.70853e-017,2.96291e-015
3.8,3.35562e-017,2.96644e-015
3.9,3.03629e-017,2.96964e-015
4,2.74735e-017,2.97253e-015
4.1,2.4859e-017,2.97514e-015
4.2,2.24934e-017,2.97751e-015
4.3,2.03528e-017,2.97965e-015
4.4,1.8416e-017,2.98158e-015
4.5,1.66635e-017,2.98334e-015
4.6,1.50778e-017,2.98492e-015
4.7,1.36429e-017,2.98636e-015
4.8,1.23446e-017,2.98766e-015
4.9,1.11699e-017,2.98883e-015
5,1.01069e-017,2.98989e-015
