time,Product
0,-4.735267770646422E-41
2,0.1
4,0.2
6,0.3
8,0.4
10,0.5
12,0.6
14,0.7
16,0.8
18,0.9
20,1.
22,1.1
24,1.2
26,1.3
28,1.4
30,1.5
32,1.5999999999999999
34,1.7
36,1.7999999999999998
38,1.9
40,1.9999999999999998
42,2.0999999999999996
44,2.1999999999999997
46,2.3
48,2.4
50,2.5
52,2.5999999999999996
54,2.6999999999999997
56,2.8
58,2.9
60,3.
62,3.0999999999999996
64,3.1999999999999997
66,3.3
68,3.4
70,3.5
72,3.5999999999999996
74,3.6999999999999997
76,3.8
78,3.9
80,4.
82,4.1
84,4.2
86,4.3
88,4.3999999999999995
90,4.5
92,4.6
94,4.699999999999999
96,4.8
98,4.8999999999999995
100,4.999999999999999
