time,S1,S2,S3
0,1,2,1
0.1,0.8757156177510671,1.875714617751068,1.124282382248933
0.2,0.7794121048540786,1.779411104854078,1.220585895145921
0.3,0.7035662223878437,1.703565222387844,1.296431777612157
0.4,0.6430637462614426,1.643062746261443,1.356934253738557
0.5,0.5943067652653031,1.594305765265303,1.405691234734697
0.6,0.5546916525042257,1.554690652504226,1.445306347495774
0.7,0.5222893691410984,1.522288369141099,1.477708630858901
0.8,0.4956420682850943,1.495641068285095,1.504355931714906
0.9,0.4736293786499782,1.473628378649978,1.526368621350022
1,0.4553779511119833,1.455376951111983,1.544620048888017
1.1,0.4401987140277138,1.440197714027714,1.559799285972286
1.2,0.4275423670190988,1.427541367019099,1.572455632980901
1.3,0.4169671760348866,1.416966176034887,1.583030823965113
1.4,0.4081152488441368,1.408114248844137,1.591882751155863
1.5,0.4006947741813003,1.4006937741813,1.5993032258187
1.6,0.8578496861206116,1.307849686120612,1.643155386669093
1.7,0.8104057730120667,1.260405773012067,1.690599299777637
1.8,0.7714765725977761,1.221476572597777,1.729528500191928
1.9,0.7393244870610292,1.18932448706103,1.761680585728675
2,0.7126260413037805,1.162626041303781,1.788379031485923
2.1,0.6903566863377524,1.140356686337753,1.810648386451952
2.2,0.67171218013047,1.12171218013047,1.829292892659234
2.3,0.6560536367136579,1.106053636713658,1.844951436076046
2.4,0.642868294317658,1.092868294317658,1.858136778472046
2.5,0.6317409672917421,1.081740967291743,1.869264105497962
2.6,0.6223329134509607,1.072332913450961,1.878672159338743
2.7,0.6143659455963877,1.064365945596388,1.886639127193316
2.8,0.6076103168983122,1.057610316898313,1.893394755891392
2.9,0.6018753651985672,1.051875365198568,1.899129707591138
3,0.5970022039479631,1.047002203947964,1.904002868841742
3.1,0.5928579521637625,1.042857952163763,1.908147120625942
3.2,0.5893311362279077,1.039331136227909,1.911673936561797
3.3,0.5863279942087046,1.036327994208705,1.914677078581
3.4,0.5837694833316081,1.033769483331609,1.917235589458097
3.5,0.5815888398495993,1.0315888398496,1.919416232940105
3.6,0.5797295778901396,1.029729577890141,1.921275494899565
3.7,0.5781438390863204,1.028143839086321,1.922861233703384
3.8,0.5767910253799338,1.026791025379935,1.92421404740977
3.9,0.5756366616525658,1.025636661652567,1.925368411137138
4,0.574651446103106,1.024651446103107,1.926353626686598
4.1,0.5738104548934127,1.023810454893414,1.927194617896291
4.2,0.5730924741697996,1.023092474169801,1.927912598619904
4.3,0.5724794377201874,1.022479437720189,1.928525635069516
4.4,0.8707730679946643,1.320773067994665,1.957979425413183
4.5,0.8283795150709551,1.278379515070955,2.000372978336892
4.6,0.7936975676708978,1.243697567670898,2.03505492573695
4.7,0.7651587247411832,1.215158724741183,2.063593768666664
4.8,0.7415621261386287,1.191562126138629,2.087190367269219
4.9,0.7219745066540498,1.17197450665405,2.106777986753798
5,0.7056612542834951,1.155661254283495,2.123091239124352
