time,X-mean,X-sd
0,0,0
1,3.76665,0.5372
2,3.76665,0.5372
3,3.76665,0.5372
4,3.76665,0.5372
5,3.76665,0.5372
6,3.76665,0.5372
7,3.76665,0.5372
8,3.76665,0.5372
9,3.76665,0.5372
10,3.76665,0.5372
11,3.76665,0.5372
12,3.76665,0.5372
13,3.76665,0.5372
14,3.76665,0.5372
15,3.76665,0.5372
16,3.76665,0.5372
17,3.76665,0.5372
18,3.76665,0.5372
19,3.76665,0.5372
20,3.76665,0.5372
21,3.76665,0.5372
22,3.76665,0.5372
23,3.76665,0.5372
24,3.76665,0.5372
25,3.76665,0.5372
26,3.76665,0.5372
27,3.76665,0.5372
28,3.76665,0.5372
29,3.76665,0.5372
30,3.76665,0.5372
31,3.76665,0.5372
32,3.76665,0.5372
33,3.76665,0.5372
34,3.76665,0.5372
35,3.76665,0.5372
36,3.76665,0.5372
37,3.76665,0.5372
38,3.76665,0.5372
39,3.76665,0.5372
40,3.76665,0.5372
41,3.76665,0.5372
42,3.76665,0.5372
43,3.76665,0.5372
44,3.76665,0.5372
45,3.76665,0.5372
46,3.76665,0.5372
47,3.76665,0.5372
48,3.76665,0.5372
49,3.76665,0.5372
50,3.76665,0.5372
