time,X-mean,X-sd
0,0,0
1,0,1.224744871
2,0,1.224744871
3,0,1.224744871
4,0,1.224744871
5,0,1.224744871
6,0,1.224744871
7,0,1.224744871
8,0,1.224744871
9,0,1.224744871
10,0,1.224744871
11,0,1.224744871
12,0,1.224744871
13,0,1.224744871
14,0,1.224744871
15,0,1.224744871
16,0,1.224744871
17,0,1.224744871
18,0,1.224744871
19,0,1.224744871
20,0,1.224744871
21,0,1.224744871
22,0,1.224744871
23,0,1.224744871
24,0,1.224744871
25,0,1.224744871
26,0,1.224744871
27,0,1.224744871
28,0,1.224744871
29,0,1.224744871
30,0,1.224744871
31,0,1.224744871
32,0,1.224744871
33,0,1.224744871
34,0,1.224744871
35,0,1.224744871
36,0,1.224744871
37,0,1.224744871
38,0,1.224744871
39,0,1.224744871
40,0,1.224744871
41,0,1.224744871
42,0,1.224744871
43,0,1.224744871
44,0,1.224744871
45,0,1.224744871
46,0,1.224744871
47,0,1.224744871
48,0,1.224744871
49,0,1.224744871
50,0,1.224744871
