time,case00009`S1,case00009`S2
0,1.5e-15,1.5e-15
0.1,1.5e-15,1.5e-15
0.2,1.5e-15,1.5e-15
0.3,1.5e-15,1.5e-15
0.4,1.5e-15,1.5e-15
0.5,1.5e-15,1.5e-15
0.6,1.5e-15,1.5e-15
0.7,1.5e-15,1.5e-15
0.8,1.5e-15,1.5e-15
0.9,1.5e-15,1.5e-15
1.,1.5e-15,1.5e-15
1.1,1.5e-15,1.5e-15
1.2,1.5e-15,1.5e-15
1.3,1.5e-15,1.5e-15
1.4,1.5e-15,1.5e-15
1.5,1.5e-15,1.5e-15
1.6,1.5e-15,1.5e-15
1.7,1.5e-15,1.5e-15
1.8,1.5e-15,1.5e-15
1.9,1.5e-15,1.5e-15
2.,1.5e-15,1.5e-15
2.1,1.5e-15,1.5e-15
2.2,1.5e-15,1.5e-15
2.3,1.5e-15,1.5e-15
2.4,1.5e-15,1.5e-15
2.5,1.5e-15,1.5e-15
2.6,1.5e-15,1.5e-15
2.7,1.5e-15,1.5e-15
2.8,1.5e-15,1.5e-15
2.9,1.5e-15,1.5e-15
3.,1.5e-15,1.5e-15
3.1,1.5e-15,1.5e-15
3.2,1.5e-15,1.5e-15
3.3,1.5e-15,1.5e-15
3.4,1.5e-15,1.5e-15
3.5,1.5e-15,1.5e-15
3.6,1.5e-15,1.5e-15
3.7,1.5e-15,1.5e-15
3.8,1.5e-15,1.5e-15
3.9,1.5e-15,1.5e-15
4.,1.5e-15,1.5e-15
4.1,1.5e-15,1.5e-15
4.2,1.5e-15,1.5e-15
4.3,1.5e-15,1.5e-15
4.4,1.5e-15,1.5e-15
4.5,1.5e-15,1.5e-15
4.6,1.5e-15,1.5e-15
4.7,1.5e-15,1.5e-15
4.8,1.5e-15,1.5e-15
4.9,1.5e-15,1.5e-15
5.,1.5e-15,1.5e-15
