time,case00688`S1,case00688`S2
0,0.1,0.1499999999999999
0.06,0.09559974818139771,0.1544002518186021
0.12,0.09139311852645527,0.1586068814735445
0.18,0.08737159114247626,0.1626284088575235
0.24,0.08352702113988544,0.1664729788601144
0.3,0.07985162186119121,0.1701483781388086
0.36,0.07633794938171162,0.1736620506182882
0.42,0.07297888732207973,0.1770211126779201
0.48,0.06976763237559609,0.1802323676244037
0.54,0.0666976810436556,0.1833023189563442
0.6,0.0637628150670986,0.1862371849329012
0.66,0.06095709052811384,0.189042909471886
0.72,0.05827482407878466,0.1917251759212151
0.78,0.05571058511555672,0.1942894148844431
0.84,0.05325917945575283,0.1967408205442469
0.9,0.05091564189845333,0.1990843581015464
0.96,0.04867522557441928,0.2013247744255805
1.02,0.04653339273853913,0.2034666072614607
1.08,0.04448580588914644,0.2055141941108533
1.14,0.04252831823910049,0.2074716817608993
1.2,0.04065696526773764,0.2093430347322621
1.26,0.03886795673813697,0.2111320432618628
1.32,0.03715766894881508,0.2128423310511847
1.38,0.03552262887749839,0.2144773711225014
1.44,0.03395955199635006,0.2160404480036497
1.5,0.03246524673426525,0.2175347532657345
1.56,0.03103669412014606,0.2189633058798536
1.62,0.02967100142246125,0.2203289985775385
1.68,0.02836540263922193,0.2216345973607778
1.74,0.02711725350170657,0.2228827464982932
1.8,0.02592402591107592,0.2240759740889239
1.86,0.02478330353628453,0.2252166964637152
1.92,0.02369277583664969,0.2263072241633501
1.98,0.02265023406717496,0.2273497659328248
2.04,0.02165356669257373,0.228346433307426
2.1,0.02070075517535126,0.2292992448246485
2.16,0.01978986978848037,0.2302101302115194
2.22,0.01891906528388815,0.2310809347161116
2.28,0.01808657906640989,0.2319134209335899
2.34,0.01729072422094666,0.2327092757790531
2.4,0.01652988854182527,0.2334701114581745
2.46,0.0158025316303987,0.234197468369601
2.52,0.01510718057377459,0.2348928194262252
2.58,0.01444242684643826,0.2355575731535615
2.64,0.01380692363444508,0.2361930763655547
2.7,0.01319938398759126,0.2368006160124085
2.76,0.01261857782544569,0.2373814221745541
2.82,0.01206332882084065,0.2379366711791591
2.88,0.01153251209950718,0.2384674879004926
2.94,0.01102505252982428,0.2389749474701755
3.,0.01053992245616794,0.2394600775438318
