time,case00537`X1,case00537`X0,case00537`T
0,1.5,1.25,1.
1.,1.692589143176806,1.131046772543813,0.9263640842793794
2.,1.870753128813516,1.023413441348331,0.8558334298381515
3.,2.035157357318519,0.9260227758513512,0.7888198668301278
4.,2.186532125940305,0.8379000575452307,0.7255678165144632
5.,2.325643211011569,0.7581633246403313,0.6661934643480983
6.,2.453269462743309,0.686014545117988,0.6107159921387022
7.,2.570185981507478,0.6207316297391001,0.5590823887534199
8.,2.677151719206051,0.5616612051467794,0.5111870756471677
9.,2.774900572708945,0.5082120746710362,0.4668873526200166
10.,2.86413521789039,0.4598493014579406,0.4260154806516665
11.,2.945523080356685,0.4160888546173329,0.3883880650259781
12.,3.01969395855129,0.3764927648882379,0.3538132765604691
13.,3.087238911974437,0.3406647412941833,0.3220963467313758
14.,3.14871010580585,0.3082462049305027,0.2930436892636434
15.,3.204621366725542,0.2789127001877945,0.2664659330866585
16.,3.255449256014521,0.2523706474937426,0.2421800964917313
17.,3.301634507365328,0.2283544050655981,0.2200110875690683
18.,3.343583710063394,0.2066236102773452,0.1997926796592551
19.,3.381671144909976,0.1869607740302469,0.1813680810597707
20.,3.416240701630167,0.1691691040492197,0.1645901943206066
21.,3.447607823571146,0.1530705353199004,0.1493216411089476
22.,3.476061439069508,0.1385039479555337,0.1354346129749523
23.,3.501865849629834,0.1253235546551292,0.1228105957150312
24.,3.525262553539457,0.1133974416130841,0.111340004847454
25.,3.546471990189652,0.1026062482815863,0.1009217615287567
26.,3.565695195567299,0.09284197277036708,0.09146283166232947
27.,3.583115363382932,0.0840068909276581,0.08287774568940509
28.,3.598899309362854,0.07601257828424208,0.07508811235289922
29.,3.613198838543059,0.0687790250725475,0.06802213638438738
30.,3.626152017122924,0.06223383546136667,0.06161414741570388
31.,3.637884351673605,0.05631150299337003,0.05580414533301873
32.,3.648509879370233,0.05095275497459245,0.05053736565516877
33.,3.658132173503394,0.0461039592534995,0.04576386724309973
34.,3.666845268882901,0.04171658745247092,0.04143814366462226
35.,3.674734511932779,0.03774672927967111,0.03751875878754343
36.,3.681877340331692,0.03415465306049962,0.03396800660780211
37.,3.688343997012643,0.03090440808906622,0.0307515948982842
38.,3.694198183216156,0.02796346482131157,0.02783835196252549
39.,3.699497655128182,0.02530238930846506,0.02519995556334815
40.,3.704294768432808,0.02289454861224404,0.02281068295494239
41.,3.708636974885776,0.02071584425349527,0.02064718086072385
42.,3.712567274777906,0.01874447102668103,0.01868825419540726
43.,3.716124628916343,0.01696069876612786,0.01691467231752362
44.,3.719344333509725,0.01534667487959974,0.01530899161067009
45.,3.722258361104036,0.01388624567355671,0.01385539322240237
46.,3.724895670487384,0.01256479468159259,0.01253953483101851
47.,3.727282488260581,0.01136909637795068,0.01134841536146248
48.,3.729442564560118,0.01028718381204113,0.01027025162783535
49.,3.731397405221333,0.009308228839293669,0.009294365939367619
50.,3.733166482483434,0.008422433749529945,0.008411083767030558
