time,case00855`S1,case00855`S2,case00855`S3,case00855`S4
0,1.e-15,0,0,0
0.12,9.949726794894389e-16,5.018274595305986e-18,9.024228488773765e-21,2.168676637395293e-23
0.24,9.800418540107576e-16,1.981465529114722e-17,1.421191282367513e-19,1.371569858709758e-21
0.36,9.556533846797057e-16,4.36305528268078e-17,7.007449989346591e-19,1.53174945517192e-20
0.48,9.225257408133623e-16,7.525609710537025e-17,2.13444125434362e-18,8.372082692387734e-20
0.6,8.816148466840995e-16,1.131071848260212e-16,4.96970223464493e-18,3.082662552342442e-19
0.72,8.340682875987608e-16,1.553245802434323e-16,9.725481301423574e-18,8.816508563831231e-19
0.84,7.811719396753905e-16,1.998873216682158e-16,1.682748368694412e-17,2.113254969449139e-18
0.96,7.242924730005533e-16,2.447318285477769e-16,2.653330691969328e-17,4.442391531975752e-18
1.08,6.648193033118591e-16,2.878679994709578e-16,3.887858999140982e-17,8.434107225772533e-18
1.2,6.041093833671013e-16,3.27484299898249e-16,5.365100599418356e-17,1.475531074046538e-17
1.32,5.434378141256582e-16,3.62035139419002e-16,7.039483833585476e-17,2.413220811948441e-17
1.44,4.839566258369577e-16,3.903057123054668e-16,8.84445503846106e-17,3.729311147296421e-17
1.56,4.266633482461142e-16,4.114515307094224e-16,1.069820452604428e-16,5.490307578401989e-17
1.68,3.723801670708038e-16,4.250121132654104e-16,1.25109537446756e-16,7.749818221702899e-17
1.8,3.21743704349091e-16,4.309002667994337e-16,1.419285882488102e-16,1.054274406026643e-16
1.92,2.752047291461161e-16,4.293701760203957e-16,1.566158688759872e-16,1.388092259575003e-16
2.04,2.330365497986018e-16,4.209687402752759e-16,1.684875226741617e-16,1.7750718725196e-16
2.16,1.953504839831239e-16,4.064752820727279e-16,1.770461243730307e-16,2.211281095711169e-16
2.28,1.621165114440451e-16,3.868351084789157e-16,1.820069641473808e-16,2.690414159296577e-16
2.4,1.331871532235846e-16,3.630921330331774e-16,1.833032197877523e-16,3.204174939554849e-16
2.52,1.083227593413644e-16,3.363250179276977e-16,1.810719859294985e-16,3.742802368014388e-16
2.64,8.721665271278894e-17,3.075905180144136e-16,1.756247347512065e-16,4.295680945215903e-16
2.76,6.951866519537672e-17,2.7787654613198e-16,1.674074593605112e-16,4.851973293121313e-16
2.88,5.485620323959718e-17,2.480664446459591e-16,1.56955410320424e-16,5.401219417940189e-16
3.,4.285212686698743e-17,2.189148419322125e-16,1.448475378315323e-16,5.933854933692669e-16
3.12,3.313914670893183e-17,1.910346314375073e-16,1.316646751213304e-16,6.441615467322296e-16
3.24,2.537070760950378e-17,1.648938422742845e-16,1.179544345867873e-16,6.917810155294236e-16
3.36,1.922853302530861e-17,1.408208442667732e-16,1.042045962498902e-16,7.357460264580271e-16
3.48,1.442719844298164e-17,1.190158767790276e-16,9.082555467241657e-17,7.757313701055734e-16
3.6,1.071618466212391e-17,9.956698521392215e-17,7.814144382314477e-17,8.115753863008084e-16
3.72,7.879899595528811e-18,8.246852736713753e-17,6.638887460419956e-17,8.432626984331333e-16
3.84,5.73618951596704e-18,6.764055643827393e-17,5.572169613273104e-17,8.709015579130272e-16
3.96,4.133792330590848e-18,5.494778590507067e-17,4.622009673419301e-17,8.946983250301447e-16
4.08,2.94914492838057e-18,4.4217112980919e-17,3.790234920635886e-17,9.149313928843409e-16
4.2,2.082887493846937e-18,3.525301695412746e-17,3.073769207739489e-17,9.319264034746301e-16
4.32,1.456323415025258e-18,2.785046097060272e-17,2.465914304001615e-17,9.460340725743554e-16
4.44,1.008027185645794e-18,2.180516648159039e-17,1.957534566189406e-17,9.576114606708695e-16
4.56,6.907310272688619e-19,1.692133413392977e-17,1.538086510207998e-17,9.67007069736721e-16
4.68,4.685629802798444e-19,1.301703254850727e-17,1.1964638490118e-17,9.745497659810947e-16
4.8,3.14665621152655e-19,9.927560913590433e-18,9.216509973927458e-18,9.805412634913292e-16
4.92,2.091957546546111e-19,7.507138208788166e-18,7.031945526657639e-18,9.852517205098994e-16
5.04,1.376825081661996e-19,5.629280998348675e-18,5.315135405996301e-18,9.889179010874886e-16
5.16,8.970713571701883e-20,4.186208624581071e-18,3.980749428166005e-18,9.917433348115354e-16
5.28,5.786254449312638e-20,3.087581840013147e-18,2.954631093311645e-18,9.938999245221816e-16
5.4,3.694795266109231e-20,2.25883018207511e-18,2.17370462457582e-18,9.955305172406875e-16
5.52,2.33563887159444e-20,1.639274546614682e-18,1.585340480819493e-18,9.967520285838496e-16
5.64,1.461648954242708e-20,1.180200984333036e-18,1.146384650201769e-18,9.976587978759221e-16
5.76,9.055300035599609e-21,8.42999872659101e-19,8.220165702025132e-19,9.983259282571022e-16
5.88,5.553732070298683e-21,5.974412697130757e-19,5.845550452574452e-19,9.988124499529587e-16
6.,3.372015234101582e-21,4.201322609853777e-19,4.122997620584066e-19,9.991641959617219e-16
