time,X-mean,X-sd
0,0,0
1,0,0.269780047
2,0,0.269780047
3,0,0.269780047
4,0,0.269780047
5,0,0.269780047
6,0,0.269780047
7,0,0.269780047
8,0,0.269780047
9,0,0.269780047
10,0,0.269780047
11,0,0.269780047
12,0,0.269780047
13,0,0.269780047
14,0,0.269780047
15,0,0.269780047
16,0,0.269780047
17,0,0.269780047
18,0,0.269780047
19,0,0.269780047
20,0,0.269780047
21,0,0.269780047
22,0,0.269780047
23,0,0.269780047
24,0,0.269780047
25,0,0.269780047
26,0,0.269780047
27,0,0.269780047
28,0,0.269780047
29,0,0.269780047
30,0,0.269780047
31,0,0.269780047
32,0,0.269780047
33,0,0.269780047
34,0,0.269780047
35,0,0.269780047
36,0,0.269780047
37,0,0.269780047
38,0,0.269780047
39,0,0.269780047
40,0,0.269780047
41,0,0.269780047
42,0,0.269780047
43,0,0.269780047
44,0,0.269780047
45,0,0.269780047
46,0,0.269780047
47,0,0.269780047
48,0,0.269780047
49,0,0.269780047
50,0,0.269780047
