time,S1,S2
0,1.,-3.5998900258307764E-21
0.1,0.9048374352198465,0.09516256478015364
0.2,0.8187307146545324,0.1812692853454677
0.30000000000000004,0.7408182361233262,0.2591817638766739
0.4,0.670320022720541,0.329679977279459
0.5,0.6065306704996609,0.393469329500339
0.6000000000000001,0.5488115662527481,0.451188433747252
0.7000000000000001,0.49658532328272725,0.5034146767172728
0.8,0.4493289588516761,0.5506710411483239
0.9,0.4065695813651999,0.5934304186348002
1.,0.3678793073131506,0.6321206926868496
1.1,0.3328709337799803,0.6671290662200199
1.2000000000000002,0.3011940861387734,0.6988059138612267
1.3,0.2725317164637326,0.7274682835362676
1.4000000000000001,0.24659692496376012,0.75340307503624
1.5,0.22313009759804028,0.7768699024019599
1.6,0.20189633311423363,0.7981036668857665
1.7000000000000002,0.18268339795329733,0.8173166020467028
1.8,0.16529887692581094,0.8347011230741891
1.9000000000000001,0.14956853713499896,0.8504314628650012
2.,0.13533514938599198,0.8646648506140081
2.1,0.12245636519494174,0.8775436348050584
2.2,0.11080314510805844,0.8891968548919417
2.3000000000000003,0.10025876357086966,0.8997412364291304
2.4000000000000004,0.9071789188774512,0.09282108112254894
2.5000000000000004,0.820849375005021,0.1791506249949791
2.6000000000000005,0.7427352808401144,0.2572647191598857
2.7,0.6720546381207804,0.3279453618792197
2.8000000000000003,0.6081002099346097,0.3918997900653903
2.9000000000000004,0.5502317639855064,0.4497682360144935
3.0000000000000004,0.4978703628305489,0.5021296371694511
3.1000000000000005,0.45049169535490435,0.5495083046450956
3.2,0.4076216647433392,0.5923783352566608
3.3000000000000003,0.36883127506469354,0.6311687249353065
3.4000000000000004,0.33373231633593897,0.6662676836640612
3.5000000000000004,0.30197350342534196,0.6980264965746582
3.6000000000000005,0.2732369658607855,0.7267630341392147
3.7000000000000006,0.24723506361071046,0.7527649363892897
3.8000000000000003,0.22370748858127337,0.7762925114187268
3.9000000000000004,0.2024187849602346,0.7975812150397655
4.,0.18315614372514905,0.816843856274851
4.1000000000000005,0.16572662954146253,0.8342733704585376
4.2,0.1499555736926698,0.8500444263073303
4.300000000000001,0.13568536232889744,0.8643146376711027
4.4,0.12277325685933092,0.8772267431406692
4.500000000000001,0.11108987187487325,0.8889101281251268
4.6000000000000005,0.10051820295642533,0.8994817970435747
4.7,0.9095264617131406,0.0904735382868595
4.8,0.822973573883747,0.1770264261162531
4.9,0.7446572805227557,0.25534271947724446
5.,0.6737937753235487,0.32620622467645133
