time,X-mean,X-sd
0,0,0
1,0.328558649,0.21350761
2,0.328558649,0.21350761
3,0.328558649,0.21350761
4,0.328558649,0.21350761
5,0.328558649,0.21350761
6,0.328558649,0.21350761
7,0.328558649,0.21350761
8,0.328558649,0.21350761
9,0.328558649,0.21350761
10,0.328558649,0.21350761
11,0.328558649,0.21350761
12,0.328558649,0.21350761
13,0.328558649,0.21350761
14,0.328558649,0.21350761
15,0.328558649,0.21350761
16,0.328558649,0.21350761
17,0.328558649,0.21350761
18,0.328558649,0.21350761
19,0.328558649,0.21350761
20,0.328558649,0.21350761
21,0.328558649,0.21350761
22,0.328558649,0.21350761
23,0.328558649,0.21350761
24,0.328558649,0.21350761
25,0.328558649,0.21350761
26,0.328558649,0.21350761
27,0.328558649,0.21350761
28,0.328558649,0.21350761
29,0.328558649,0.21350761
30,0.328558649,0.21350761
31,0.328558649,0.21350761
32,0.328558649,0.21350761
33,0.328558649,0.21350761
34,0.328558649,0.21350761
35,0.328558649,0.21350761
36,0.328558649,0.21350761
37,0.328558649,0.21350761
38,0.328558649,0.21350761
39,0.328558649,0.21350761
40,0.328558649,0.21350761
41,0.328558649,0.21350761
42,0.328558649,0.21350761
43,0.328558649,0.21350761
44,0.328558649,0.21350761
45,0.328558649,0.21350761
46,0.328558649,0.21350761
47,0.328558649,0.21350761
48,0.328558649,0.21350761
49,0.328558649,0.21350761
50,0.328558649,0.21350761
