time,s
0,-3.506609277126422E-41
0.1,0.7
0.2,1.3999999999999997
0.30000000000000004,2.1
0.4,2.8000000000000003
0.5,3.5
0.6000000000000001,4.2
0.7000000000000001,4.9
0.8,5.6000000000000005
0.9,6.3
1.,7.
1.1,7.700000000000001
1.2000000000000002,8.400000000000002
1.3,9.100000000000001
1.4000000000000001,9.8
1.5,10.5
1.6,11.200000000000001
1.7000000000000002,11.900000000000002
1.8,12.600000000000001
1.9000000000000001,13.3
2.,14.
2.1,14.700000000000001
2.2,15.400000000000002
2.3000000000000003,16.1
2.4000000000000004,16.800000000000004
2.5,17.5
2.6,18.200000000000003
2.7,18.900000000000002
2.8000000000000003,19.6
2.9000000000000004,20.300000000000004
3.,21.
3.1,21.700000000000003
3.2,22.400000000000002
3.3000000000000003,23.1
3.4000000000000004,23.800000000000004
3.5,24.5
3.6,25.200000000000003
3.7,25.900000000000002
3.8000000000000003,26.600000000000005
3.9000000000000004,27.300000000000004
4.,28.000000000000004
4.1000000000000005,28.700000000000006
4.2,29.400000000000006
4.3,30.1
4.4,30.800000000000008
4.5,31.500000000000004
4.6000000000000005,32.20000000000001
4.7,32.900000000000006
4.800000000000001,33.60000000000001
4.9,34.30000000000001
5.,35.00000000000001
