time,case00494`S1,case00494`S2
0,1.,1.5
0.04,0.8948393164504183,1.605160683549582
0.08,0.8007374028927365,1.699262597107264
0.12,0.7165313091972224,1.783468690802778
0.16,0.6411803883692257,1.858819611630775
0.2,0.5737534177169549,1.926246582283046
0.24,0.513417118644628,1.986582881355373
0.28,0.459425823733821,2.040574176266179
0.32,0.4111122884676132,2.088887711532387
0.36,0.3678794225469455,2.132120577453054
0.4,0.3291929878007084,2.170807012199293
0.44,0.2945748282028835,2.205425171797117
0.48,0.2635971378095856,2.236402862190416
0.52,0.2358770829585825,2.264122917041419
0.56,0.2110720872758402,2.288927912724161
0.6,0.1888755975599816,2.311124402440019
0.64,0.1690133112698535,2.330986688730147
0.68,0.1512397568109585,2.348760243189042
0.72,0.1353352815440707,2.36466471845593
0.76,0.1211033316550608,2.37889666834494
0.8,0.1083680212158832,2.391631978784117
0.84,0.09697196173623329,2.403028038263767
0.88,0.08677432917345301,2.413225670826547
0.92,0.07764907631725297,2.422350923682747
0.96,0.06948345114479505,2.430516548855205
1.,0.06217651989592271,2.437823480104078
1.04,0.05563799733717472,2.444362002662826
1.08,0.04978706287252752,2.450212937127473
1.12,0.04455142513337562,2.455448574866625
1.16,0.03986636550690674,2.460133634493094
1.2,0.0356739897960432,2.464326010203957
1.24,0.03192249183247248,2.468077508167528
1.28,0.02856549806131812,2.471434501938683
1.32,0.02556153155970324,2.474438468440298
1.36,0.02287346445284673,2.477126535547154
1.4,0.0204680734508297,2.479531926549171
1.44,0.01831563849510211,2.481684361504899
1.48,0.01638955277566751,2.483610447224333
1.52,0.01466601569000552,2.485333984309995
1.56,0.01312372873640899,2.486876271263591
1.6,0.01174362730918532,2.488256372690815
1.64,0.0105086598284868,2.489491340171514
1.68,0.009403562332035844,2.490596437667965
1.72,0.00841467655880472,2.491585323441195
1.76,0.007529784118591355,2.492470215881409
1.8,0.006737946556838058,2.493262053443162
1.84,0.006029379317819846,2.49397062068218
1.88,0.005395326178652504,2.494604673821348
1.92,0.00482794951121755,2.495172050488783
1.96,0.00432023922896759,2.495679760771033
2.,0.003865920139482578,2.496134079860518
