time,case00869`S1,case00869`S2,case00869`S3,case00869`S4
0,1.e-15,0,0,0
0.08,9.977625069277847e-16,2.235703364331348e-18,0,0
0.16,9.9108002053884e-16,8.891454279317741e-18,0,0
0.24,9.80041853584602e-16,1.981465599778319e-17,0,0
0.32,9.64794648028078e-16,3.475588703492177e-17,0,0
0.4,9.45539135077466e-16,5.33760626637809e-17,0,0
0.48,9.225257409085107e-16,7.525609697059415e-17,0,0
0.56,8.960491604139474e-16,9.990873827761675e-17,0,0
0.64,8.664420892497205e-16,1.267921190402368e-16,0,0
0.72,8.340682872046565e-16,1.553245803456248e-16,0,0
0.8,7.993151341998817e-16,1.849002910121443e-16,0,0
0.88,7.625859921420214e-16,2.149050402637379e-16,0,0
0.96,7.242924745410069e-16,2.447318201114744e-16,0,0
1.04,6.848468817250537e-16,2.737956264693663e-16,0,0
1.12,6.446549940777583e-16,3.015470511512644e-16,0,0
1.2,6.041093831220785e-16,3.27484300524434e-16,0,0
1.28,5.635833832673043e-16,3.511633401701355e-16,0,0
1.36,5.234258042252386e-16,3.722060270333248e-16,0,0
1.44,4.839566249028872e-16,3.903057142570914e-16,0,0
1.52,4.45463497994224e-16,4.052308534483523e-16,0,0
1.6,4.081991984005276e-16,4.168262946373537e-16,0,0
1.68,3.723801704949669e-16,4.250121068906232e-16,0,0
1.76,3.381857602829325e-16,4.297808724061876e-16,0,0
1.84,3.057584151373958e-16,4.311929528959851e-16,0,0
1.92,2.752047391003355e-16,4.293701619546527e-16,0,0
2.,2.465969719717067e-16,4.244886599277879e-16,0,0
2.08,2.199753105866809e-16,4.167705580822068e-16,0,0
2.16,1.953504889203671e-16,4.06475277587786e-16,0,0
2.24,1.727067900069431e-16,3.938905542345063e-16,0,0
2.32,1.520052911233094e-16,3.793235150438314e-16,0,0
2.4,1.331871508149187e-16,3.63092132374175e-16,0,0
2.48,1.16177050530289e-16,3.455171665753618e-16,0,0
2.56,1.008864160666282e-16,3.269148565475702e-16,0,0
2.64,8.721665247408403e-17,3.075905168856406e-16,0,0
2.72,7.506206308147106e-17,2.878330374917271e-16,0,0
2.8,6.431258138173663e-17,2.679104410118119e-16,0,0
2.88,5.485620305613606e-17,2.48066447275659e-16,0,0
2.96,4.658111778693711e-17,2.285180595268183e-16,0,0
3.04,3.937752650347946e-17,2.094541014888727e-16,0,0
3.12,3.313914699671688e-17,1.910346300153123e-16,0,0
3.2,2.776441770047718e-17,1.733911299568046e-16,0,0
3.28,2.315741896032459e-17,1.566273740165474e-16,0,0
3.36,1.922853161687563e-17,1.408208487300345e-16,0,0
3.44,1.589485175747049e-17,1.26024647033933e-16,0,0
3.52,1.308040396849998e-17,1.122696616422414e-16,0,0
3.6,1.071618479734641e-17,9.956698493040681e-17,0,0
3.68,8.740043642901673e-18,8.791047244025446e-17,0,0
3.76,7.096453616266321e-18,7.72793121226874e-17,0,0
3.84,5.73618957562432e-18,6.764055636237954e-17,0,0
3.92,4.615938177280568e-18,5.895155156043448e-17,0,0
4.,3.69786371649542e-18,5.11622131028237e-17,0,0
