time,S1, C
0,1,1
0.01,1.009949554,1
0.02,1.019804206,1
0.03,1.029564137,1
0.04,1.039232082,1
0.05,1.048810844,1
0.06,1.058302913,1
0.07,1.067710432,1
0.08,1.077035593,1
0.09,1.086280632,1
0.1,1.095447572,1
0.11,1.104538318,1
0.12,1.113554909,1
0.13,1.122498929,1
0.14,1.131372397,1
0.15,1.14017667,1
0.16,1.148913594,1
0.17,1.157584543,1
0.18,1.166191052,1
0.19,1.174734539,1
0.2,1.183216312,1
0.21,1.191637777,1
0.22,1.200000087,1
0.23,1.208304601,1
0.24,1.21655236,1
0.25,1.224744647,1
0.26,1.232882448,1
0.27,1.240966922,1
0.28,1.24899903,1
0.29,1.256979744,1
0.3,1.264910129,1
0.31,1.272791189,1
0.32,1.280623635,1
0.33,1.288408492,1
0.34,1.296146659,1
0.35,1.303838953,1
0.36,1.311486115,1
0.37,1.319088977,1
0.38,1.326648298,1
0.39,1.334164818,1
0.4,1.341639246,1
0.41,1.349072262,1
0.42,1.356464552,1
0.43,1.363816921,1
0.44,1.371129922,1
0.45,1.378404161,1
0.46,1.385640218,1
0.47,1.392838645,1
0.48,1.399999969,1
0.49,1.407124956,1
0.5,1.414214271,1
0.51,1.421268245,1
0.52,1.428287368,1
0.53,1.435272109,1
0.54,1.442222914,1
0.55,1.449140208,1
0.56,1.456024908,1
0.57,1.462877256,1
0.58,1.469697626,1
0.59,1.476486437,1
0.6,1.483244088,1
0.61,1.489970967,1
0.62,1.496667521,1
0.63,1.503334438,1
0.64,1.509971896,1
0.65,1.516580274,1
0.66,1.523159939,1
0.67,1.52971125,1
0.68,1.536234553,1
0.69,1.542730287,1
0.7,1.549198838,1
0.71,1.555640482,1
0.72,1.562055549,1
0.73,1.568444361,1
0.74,1.57480723,1
0.75,1.581144461,1
0.76,1.587456447,1
0.77,1.593743445,1
0.78,1.600005739,1
0.79,1.606243612,1
0.8,1.612457343,1
0.81,1.618647202,1
0.82,1.62481347,1
0.83,1.63095648,1
0.84,1.637076441,1
0.85,1.643173606,1
0.86,1.649248223,1
0.87,1.655300531,1
0.88,1.661330766,1
0.89,1.66733923,1
0.9,1.673326181,1
0.91,1.679291807,1
0.92,1.68523633,1
0.93,1.69115997,1
0.94,1.69706294,1
0.95,1.702945446,1
0.96,1.708807692,1
0.97,1.714649871,1
0.98,1.720472173,1
0.99,1.726274783,1
1,1.73205814,1
1.01,1.737822277,1
1.02,1.743567368,1
1.03,1.749293595,1
1.04,1.755001137,1
1.05,1.760690167,1
1.06,1.766360854,1
1.07,1.772013362,1
1.08,1.777647852,1
1.09,1.783264479,1
1.1,1.788863466,1
1.11,1.794445095,1
1.12,1.800009405,1
1.13,1.805556553,1
1.14,1.811086693,1
1.15,1.816599976,1
1.16,1.822096553,1
1.17,1.827576569,1
1.18,1.833040169,1
1.19,1.838487495,1
1.2,1.843918686,1
1.21,1.849333938,1
1.22,1.85473338,1
1.23,1.860117132,1
1.24,1.865485331,1
1.25,1.870838115,1
1.26,1.876175619,1
1.27,1.881497977,1
1.28,1.886805323,1
1.29,1.892097789,1
1.3,1.897375505,1
1.31,1.902638597,1
1.32,1.907887097,1
1.33,1.913121195,1
1.34,1.918341013,1
1.35,1.923546669,1
1.36,1.928738281,1
1.37,1.933915968,1
1.38,1.939079845,1
1.39,1.944230028,1
1.4,1.949366629,1
1.41,1.954489763,1
1.42,1.9595995,1
1.43,1.964695914,1
1.44,1.969779151,1
1.45,1.974849313,1
1.46,1.9799065,1
1.47,1.984950812,1
1.48,1.989982346,1
1.49,1.995001198,1
1.5,0.200074587,10
1.51,0.245009856,10
1.52,0.282895622,10
1.53,0.31627608,10
1.54,0.346454709,10
1.55,0.374207504,10
1.56,0.4000388,10
1.57,0.424300906,10
1.58,0.447248736,10
1.59,0.469074725,10
1.6,0.489929115,10
1.61,0.509931744,10
1.62,0.529179333,10
1.63,0.547750775,10
1.64,0.56571228,10
1.65,0.583120537,10
1.66,0.600024431,10
1.67,0.616465416,10
1.68,0.632478924,10
1.69,0.648096619,10
1.7,0.66334696,10
1.71,0.678254765,10
1.72,0.692841995,10
1.73,0.707128514,10
1.74,0.721132594,10
1.75,0.734869642,10
1.76,0.748354771,10
1.77,0.761600622,10
1.78,0.774619775,10
1.79,0.787423372,10
1.8,0.800022056,10
1.81,0.81242535,10
1.82,0.82464226,10
1.83,0.836680878,10
1.84,0.848548763,10
1.85,0.860252918,10
1.86,0.871799915,10
1.87,0.883195924,10
1.88,0.894446719,10
1.89,0.905557762,10
1.9,0.916534133,10
1.91,0.927380621,10
1.92,0.938101721,10
1.93,0.9487017,10
1.94,0.959184542,10
1.95,0.96955404,10
1.96,0.979813805,10
1.97,0.989967228,10
1.98,1.000017545,10
1.99,1.009967843,10
2,1.019821048,10
2.01,1.029579807,10
2.02,1.03924683,10
2.03,1.04882469,10
2.04,1.0583159,10
2.05,1.067722899,10
2.06,1.077047526,10
2.07,1.086292157,10
2.08,1.095458889,10
2.09,1.104549651,10
2.1,1.1135662,10
2.11,1.12251039,10
2.12,1.13138393,10
2.13,1.140188457,10
2.14,1.148925535,10
2.15,1.157596662,10
2.16,1.166203295,10
2.17,1.174746935,10
2.18,1.183228892,10
2.19,1.191650475,10
2.2,1.200012946,10
2.21,1.208317525,10
2.22,1.216565387,10
2.23,1.224757675,10
2.24,1.232895498,10
2.25,1.240979924,10
2.26,1.249011994,10
2.27,1.256992721,10
2.28,1.264923097,10
2.29,1.272804087,10
2.3,1.280636554,10
2.31,1.288421239,10
2.32,1.296159134,10
2.33,1.303851091,10
2.34,1.311497945,10
2.35,1.319100516,10
2.36,1.326659614,10
2.37,1.334175885,10
2.38,1.341649872,10
2.39,1.349082462,10
2.4,1.356474356,10
2.41,1.363826243,10
2.42,1.371138801,10
2.43,1.3784127,10
2.44,1.385648432,10
2.45,1.392846461,10
2.46,1.400007512,10
2.47,1.407132154,10
2.48,1.414220943,10
2.49,1.421274424,10
2.5,1.42829313,10
2.51,1.43527752,10
2.52,1.442228054,10
2.53,1.449145258,10
2.54,1.456029602,10
2.55,1.462881547,10
2.56,1.469701543,10
2.57,1.476490031,10
2.58,1.483247433,10
2.59,1.48997417,10
2.6,1.496670658,10
2.61,1.503337305,10
2.62,1.509974508,10
2.63,1.516582662,10
2.64,1.523162154,10
2.65,1.529713314,10
2.66,1.536236505,10
2.67,1.542732107,10
2.68,1.549200474,10
2.69,1.555641957,10
2.7,1.5620569,10
2.71,1.568445644,10
2.72,1.57480844,10
2.73,1.581145612,10
2.74,1.587457493,10
2.75,1.593744389,10
2.76,1.600006599,10
2.77,1.606244417,10
2.78,1.612458132,10
2.79,1.618647984,10
2.8,1.624814254,10
2.81,1.630957218,10
2.82,1.637077135,10
2.83,1.643174262,10
2.84,1.649248849,10
2.85,1.655301139,10
2.86,1.661331386,10
