time,case00335`S1,case00335`S2,case00335`S3
0,1.5e-12,9.999999999999999e-13,9.999999999999999e-13
0.1,1.5e-12,1.262499999999999e-12,1.02625e-12
0.2,1.5e-12,1.524999999999999e-12,1.052499999999999e-12
0.3,1.5e-12,1.787499999999999e-12,1.078749999999999e-12
0.4,1.5e-12,2.049999999999999e-12,1.104999999999999e-12
0.5,1.5e-12,2.312499999999999e-12,1.131249999999999e-12
0.6,1.5e-12,2.574999999999999e-12,1.157499999999999e-12
0.7,1.5e-12,2.837499999999999e-12,1.183749999999999e-12
0.8,1.5e-12,3.099999999999999e-12,1.209999999999999e-12
0.9,1.5e-12,3.362499999999999e-12,1.236249999999999e-12
1.,1.5e-12,3.624999999999999e-12,1.262499999999999e-12
1.1,1.5e-12,3.8875e-12,1.288749999999999e-12
1.2,1.5e-12,4.149999999999999e-12,1.314999999999999e-12
1.3,1.5e-12,4.4125e-12,1.341249999999999e-12
1.4,1.5e-12,4.675e-12,1.367499999999999e-12
1.5,1.5e-12,4.937499999999999e-12,1.393749999999999e-12
1.6,1.5e-12,5.2e-12,1.419999999999999e-12
1.7,1.5e-12,5.4625e-12,1.446249999999999e-12
1.8,1.5e-12,5.725e-12,1.472499999999999e-12
1.9,1.5e-12,5.9875e-12,1.498749999999999e-12
2.,1.5e-12,6.25e-12,1.524999999999999e-12
2.1,1.5e-12,6.5125e-12,1.551249999999999e-12
2.2,1.5e-12,6.775000000000001e-12,1.577499999999999e-12
2.3,1.5e-12,7.0375e-12,1.603749999999999e-12
2.4,1.5e-12,7.3e-12,1.629999999999999e-12
2.5,1.5e-12,7.562500000000001e-12,1.656249999999999e-12
2.6,1.5e-12,7.825000000000001e-12,1.682499999999999e-12
2.7,1.5e-12,8.0875e-12,1.70875e-12
2.8,1.5e-12,8.35e-12,1.734999999999999e-12
2.9,1.5e-12,8.6125e-12,1.761249999999999e-12
3.,1.5e-12,8.875000000000001e-12,1.787499999999999e-12
3.1,1.5e-12,9.137500000000001e-12,1.813749999999999e-12
3.2,1.5e-12,9.400000000000001e-12,1.839999999999999e-12
3.3,1.5e-12,9.6625e-12,1.866249999999999e-12
3.4,1.5e-12,9.925e-12,1.892499999999999e-12
3.5,1.5e-12,1.01875e-11,1.918749999999999e-12
3.6,1.5e-12,1.045e-11,1.944999999999999e-12
3.7,1.5e-12,1.07125e-11,1.971249999999999e-12
3.8,1.5e-12,1.0975e-11,1.997499999999999e-12
3.9,1.5e-12,1.12375e-11,2.023749999999999e-12
4.,1.5e-12,1.15e-11,2.049999999999999e-12
4.1,1.5e-12,1.17625e-11,2.076249999999999e-12
4.2,1.5e-12,1.2025e-11,2.102499999999999e-12
4.3,1.5e-12,1.22875e-11,2.128749999999999e-12
4.4,1.5e-12,1.255e-11,2.154999999999999e-12
4.5,1.5e-12,1.28125e-11,2.181249999999999e-12
4.6,1.5e-12,1.3075e-11,2.207499999999999e-12
4.7,1.5e-12,1.33375e-11,2.233749999999999e-12
4.8,1.5e-12,1.36e-11,2.259999999999999e-12
4.9,1.5e-12,1.38625e-11,2.286249999999999e-12
5.,1.5e-12,1.4125e-11,2.312499999999999e-12
