time,case00003`S1,case00003`S2
0,1.5e-015,0
0.1,1.35726e-015,2.85488e-016
0.2,1.2281e-015,5.43808e-016
0.3,1.11123e-015,7.77545e-016
0.4,1.00548e-015,9.8904e-016
0.5,9.09796e-016,1.18041e-015
0.6,8.23217e-016,1.35357e-015
0.7,7.44878e-016,1.51024e-015
0.8,6.73993e-016,1.65201e-015
0.9,6.09854e-016,1.78029e-015
1,5.51819e-016,1.89636e-015
1.1,4.99307e-016,2.00139e-015
1.2,4.51791e-016,2.09642e-015
1.3,4.08798e-016,2.1824e-015
1.4,3.69895e-016,2.26021e-015
1.5,3.34695e-016,2.33061e-015
1.6,3.02845e-016,2.39431e-015
1.7,2.74025e-016,2.45195e-015
1.8,2.47948e-016,2.5041e-015
1.9,2.24353e-016,2.55129e-015
2,2.03003e-016,2.59399e-015
2.1,1.83685e-016,2.63263e-015
2.2,1.66205e-016,2.66759e-015
2.3,1.50388e-016,2.69922e-015
2.4,1.36077e-016,2.72785e-015
2.5,1.23127e-016,2.75375e-015
2.6,1.1141e-016,2.77718e-015
2.7,1.00808e-016,2.79838e-015
2.8,9.12151e-017,2.81757e-015
2.9,8.25348e-017,2.83493e-015
3,7.46806e-017,2.85064e-015
3.1,6.75738e-017,2.86485e-015
3.2,6.11433e-017,2.87771e-015
3.3,5.53248e-017,2.88935e-015
3.4,5.00599e-017,2.89988e-015
3.5,4.52961e-017,2.90941e-015
3.6,4.09856e-017,2.91803e-015
3.7,3.70853e-017,2.92583e-015
3.8,3.35562e-017,2.93289e-015
3.9,3.03629e-017,2.93927e-015
4,2.74735e-017,2.94505e-015
4.1,2.4859e-017,2.95028e-015
4.2,2.24934e-017,2.95501e-015
4.3,2.03528e-017,2.95929e-015
4.4,1.8416e-017,2.96317e-015
4.5,1.66635e-017,2.96667e-015
4.6,1.50778e-017,2.96984e-015
4.7,1.36429e-017,2.97271e-015
4.8,1.23446e-017,2.97531e-015
4.9,1.11699e-017,2.97766e-015
5,1.01069e-017,2.97979e-015
