time,case00569`S1,case00569`S2,case00569`S3,case00569`S4
0,2.e-15,2.e-15,0,0
0.3,1.394800147781714e-15,1.315676543108591e-15,6.051998522182844e-16,7.912360467312273e-17
0.6,1.265637926552785e-15,1.042177057382323e-15,7.343620734472123e-16,2.234608691704629e-16
0.9,1.260787309970546e-15,8.81495521461917e-16,7.392126900294534e-16,3.792917885086287e-16
1.2,1.294527158806536e-15,7.631861758372243e-16,7.054728411934635e-16,5.313409829693115e-16
1.5,1.340648792316434e-15,6.658910414230901e-16,6.593512076835651e-16,6.747577508933443e-16
1.8,1.390195959641686e-15,5.821559764691806e-16,6.098040403583128e-16,8.080399831725057e-16
2.1,1.439799095050669e-15,5.089235957098237e-16,5.602009049493293e-16,9.308754993408458e-16
2.4,1.488026870411208e-15,4.44604719202106e-16,5.119731295887906e-16,1.043422151209102e-15
2.7,1.534174977262002e-15,3.881245247418991e-16,4.658250227379958e-16,1.146050452520103e-15
3.,1.577849594651271e-15,3.386074327357592e-16,4.221504053487263e-16,1.239242161915513e-15
3.3,1.618819018540136e-15,2.952757938162887e-16,3.811809814598622e-16,1.323543224723848e-15
3.6,1.656956793726144e-15,2.574202215989018e-16,3.430432062738541e-16,1.399536572127243e-15
3.9,1.692215703745269e-15,2.243926648566659e-16,3.0778429625473e-16,1.467823038888602e-15
4.2,1.724611831051452e-15,1.956053419147934e-16,2.753881689485468e-16,1.529006489136658e-15
4.5,1.754211873623729e-15,1.705299865048628e-16,2.457881263762703e-16,1.583681887118866e-15
4.8,1.781121789473678e-15,1.486959112188491e-16,2.188782105263201e-16,1.63242587825483e-15
5.1,1.805476458559077e-15,1.2968681007494e-16,1.945235414409209e-16,1.675789648484138e-15
5.4,1.82743048913623e-15,1.131366515472324e-16,1.725695108637678e-16,1.714293837588999e-15
5.7,1.847150324599925e-15,9.872507587941119e-17,1.528496754000734e-16,1.748425248720515e-15
6.,1.864807718083255e-15,8.617264595147683e-17,1.351922819167437e-16,1.778635072131779e-15
6.3,1.880574542824257e-15,7.523620514896671e-17,1.194254571757409e-16,1.805338337675292e-15
6.6,1.894618831441618e-15,6.570450570690081e-17,1.053811685583809e-16,1.828914325734718e-15
6.9,1.907101892968158e-15,5.739419910024427e-17,9.289810703184102e-17,1.849707693867914e-15
7.2,1.918176338332387e-15,5.014622784920913e-17,8.182366166761173e-17,1.868030110483178e-15
7.5,1.927984845639179e-15,4.382262302549611e-17,7.201515436081966e-17,1.884162222613684e-15
7.8,1.936659509092895e-15,3.830368997400889e-17,6.334049090710338e-17,1.898355819118887e-15
8.1,1.944321634167266e-15,3.348555263358421e-17,5.567836583273286e-17,1.910836081533683e-15
8.4,1.951081862711764e-15,2.927802127252032e-17,4.891813728823524e-17,1.921803841439243e-15
8.7,1.957040532552497e-15,2.560274710909308e-17,4.295946744750133e-17,1.931437785443405e-15
9.,1.962288195332663e-15,2.239162848038301e-17,3.771180466733549e-17,1.939896566852281e-15
9.3,1.966906233127045e-15,1.958543581128135e-17,3.309376687295444e-17,1.947320797315764e-15
9.6,1.970967528545534e-15,1.713262586139908e-17,2.903247145446457e-17,1.953834902684135e-15
9.9,1.97453715468693e-15,1.498831912823708e-17,2.546284531306895e-17,1.959548835558694e-15
10.2,1.977673060651363e-15,1.311341758780123e-17,2.232693934863567e-17,1.964559643063563e-15
10.5,1.980426735674154e-15,1.147384301155809e-17,1.957326432584446e-17,1.968952892662597e-15
10.8,1.98284384062513e-15,1.003987884556933e-17,1.715615937486817e-17,1.972803961779563e-15
11.1,1.984964799927166e-15,8.78560105727213e-18,1.503520007283254e-17,1.976179198869896e-15
11.4,1.986825350154258e-15,7.688385459142705e-18,1.317464984573927e-17,1.979136964695118e-15
11.7,1.988457043907994e-15,6.728480828747513e-18,1.154295609200391e-17,1.981728563079248e-15
12.,1.989887709231097e-15,5.888638695374023e-18,1.011229076889997e-17,1.983999070535725e-15
12.3,1.991141865957119e-15,5.15379198582996e-18,8.858134042877289e-18,1.985988073971293e-15
12.6,1.992241101142375e-15,4.510775847398441e-18,7.758898857621863e-18,1.987730325294979e-15
12.9,1.993204406180711e-15,3.948084922474975e-18,6.795593819285479e-18,1.98925632125824e-15
13.2,1.994048478440207e-15,3.455662163209308e-18,5.951521559789904e-18,1.990592816277001e-15
13.5,1.994787990345594e-15,3.024714966309865e-18,5.212009654403337e-18,1.991763275379287e-15
13.8,1.995435828806564e-15,2.647554997265451e-18,4.564171193432973e-18,1.992788273809301e-15
14.1,1.996003307794622e-15,2.317458575747154e-18,3.996692205375559e-18,1.993685849218877e-15
14.4,1.996500356726214e-15,2.028544923069968e-18,3.499643273783021e-18,1.994471811803147e-15
14.7,1.996935687136737e-15,1.775669939652151e-18,3.064312863259294e-18,1.995160017197088e-15
15.,1.99731693994238e-15,1.554333494994888e-18,2.683060057616608e-18,1.995762606447387e-15
