time,S1,S2,S3,C
0,1,2,1,1
0.1,0.8720905993141901,1.852289272620888,1.088306747299207,0.9900498337491392
0.2,0.771872391304281,1.732661830456543,1.149706487000244,0.9801986733067243
0.3,0.6920534227362242,1.633817956320375,1.191475644432076,0.9704455335484573
0.4,0.6275999975559922,1.550716343942454,1.218632695216932,0.9607894391522328
0.5,0.574931893672325,1.479769311708035,1.234742942399094,0.9512294245005826
0.6,0.5314390246445934,1.418359461361569,1.242401848789358,0.941764533584152
0.7,0.4951787642395512,1.364536999638363,1.243537706558072,0.9323938199059512
0.8,0.4646799026527765,1.31682369161876,1.239607675279191,0.9231163463865125
0.9,0.4388119815401887,1.274082192950872,1.231728441281178,0.913931185270906
1,0.4166952993826794,1.235426052460548,1.220766206773057,0.9048374180358968
1.1,0.3976374695732236,1.200156267535371,1.207400126351071,0.8958341352963433
1.2,0.3810889919914187,1.167716853057005,1.192166730139753,0.886920436716612
1.3,0.3666101675606017,1.137661753364188,1.175493004046571,0.8780954309205726
1.4,0.3538462207478511,1.109629962202333,1.157721262161114,0.8693582353980909
1.5,0.3425099579877606,1.08332817866917,1.139126483375057,0.8607079764248784
1.6,0.3323668486583851,1.058515885730806,1.119931225486456,0.8521437889654661
1.7,0.3232251138116145,1.034995436573328,1.100315531711813,0.8436648165958526
1.8,0.3149268313788531,1.012603157448339,1.080425820760117,0.8352702114103466
1.9,0.3073417839909456,0.9912031932022068,1.060381034431576,0.8269591339427004
2,0.3003619965769201,0.9706820426100942,1.040278095489427,0.818730753076476
2.1,0.2938979381466251,0.9509447579612337,1.020195701482591,0.8105842459699104
2.2,0.2878748049939303,0.9319112260727828,1.000198037163775,0.8025187979598065
2.3,0.2822304329698567,0.913514078476851,0.9803368580441324,0.7945336025033772
2.4,0.2769124384785779,0.8956958302788455,0.9606543451219579,0.7866278610628205
2.5,0.2718772248139735,0.8784078845243117,0.9411840946067027,0.7788007830699312
2.6,0.2670878913322374,0.8616084392995438,0.9219532046023754,0.7710515858016934
2.7,0.2625134380008799,0.8452616903663707,0.9029830667301023,0.7633794943312867
2.8,0.2581278127313087,0.8293368765796394,0.8842903149653515,0.7557837414554048
2.9,0.2539087597886561,0.8138071263455303,0.8658879733250914,0.7482635675728665
3,0.2498376300357185,0.7986492661186848,0.8477856421302139,0.740818220674253
3.1,0.2458985497012152,0.7838429872957705,0.8299903254878948,0.7334469562242078
3.2,0.2420778896258066,0.7693703136560738,0.8125069584347284,0.7261490370648903
3.3,0.2383642043013423,0.755215538774943,0.7953384646458596,0.718923733419339
3.4,0.2347476827873493,0.7413646751506148,0.778486301939181,0.7117703227609769
3.5,0.2312198259919921,0.7278051297729947,0.7619507815700134,0.7046880897113296
3.6,0.2277734369246687,0.714525692852702,0.7457310749313969,0.6976763260481418
3.7,0.2244023658229215,0.7015162813275577,0.7298254651863513,0.6907343306254846
3.8,0.2211012244039902,0.6887676514152085,0.7142316296184452,0.6838614092133126
3.9,0.2178653493252614,0.6762713605961557,0.6989466732165272,0.6770568744728129
4,0.2146907832563641,0.6640197473188864,0.6839671448686804,0.6703200459948384
4.1,0.2115740577124211,0.6520057121928927,0.6692892512485222,0.6636502501170866
4.2,0.2085121061982865,0.6402226296293854,0.654908940663911,0.6570468198165933
4.3,0.2055022486114161,0.6286643308780682,0.6408219159218879,0.6505090946840421
4.4,0.2025421738466227,0.6173250854180141,0.6270236492961601,0.644036420997595
4.5,0.1996298313907578,0.6061994910431814,0.6135094879140891,0.6376281515526299
4.6,0.1967633831900826,0.5952824242509911,0.6002746989317345,0.6312836454882295
4.7,0.1939411946430201,0.584569030006024,0.5873144760829875,0.6250022682862869
4.8,0.1911618188035898,0.5740547047715604,0.5746239531323515,0.6187833918003703
4.9,0.1884239517900568,0.5637350506385631,0.5621982459069557,0.6126263941820547
5,0.1857264142904868,0.5536058554667562,0.5500324680620518,0.6065306597166126
