time,case00849`S1,case00849`S2,case00849`S3,case00849`S4
0,1.,2.,1.,1.5
0.1,0.9285402627340821,2.071459737265918,0.9497931914075972,1.550206808592403
0.2,0.86371896763816,2.136281032361841,0.9039076232689001,1.5960923767311
0.3,0.8049194190451108,2.19508058095489,0.8619713715763732,1.638028628423628
0.4,0.7515822106667366,2.248417789333265,0.8236445232661107,1.67635547673389
0.5,0.7031999031741502,2.296800096825852,0.7886164208574515,1.711383579142549
0.6,0.6593121998969282,2.340687800103073,0.7566031463571243,1.743396853642877
0.7,0.6195015550797409,2.38049844492026,0.7273452127302649,1.772654787269736
0.8,0.5833892313299046,2.416610768670097,0.7006054778858206,1.799394522114181
0.9,0.5506316636907074,2.449368336309294,0.676167203736286,1.823832796263715
1.,0.5209171946673176,2.479082805332684,0.653832301289462,1.846167698710539
1.1,0.4939631253075663,2.506036874692438,0.6334197344812909,1.86658026551871
1.2,0.4695130287521882,2.530486971247816,0.6147640548239897,1.885235945176012
1.3,0.4473342888442474,2.552665711155756,0.5977140473593453,1.902285952640656
1.4,0.4272159020605841,2.57278409793942,0.5821315139008825,1.917868486099119
1.5,0.4089664658474853,2.591033534152518,0.5678901503486725,1.932109849651329
1.6,0.392412359792837,2.607587640207166,0.5548745242402941,1.945125475759707
1.7,0.3773960882700913,2.622603911729912,0.5429791356694917,1.95702086433051
1.8,0.3637747973494539,2.636225202650549,0.5321075716826452,1.967892428317356
1.9,0.3514188940706836,2.64858110592932,0.5221717113522712,1.977828288647731
2.,0.3402108199738119,2.659789180026191,0.5130910153641848,1.986908984635817
2.1,0.3300439532663579,2.669956046733645,0.5047918863882937,1.995208113611708
2.2,0.3208215657567569,2.679178434243246,0.4972070543184778,2.002792945681524
2.3,0.312455913923755,2.687544086076248,0.4902750381098638,2.009724961890138
2.4,0.3048674114562665,2.695132588543737,0.483939652244456,2.016060347755546
2.5,0.297983859646202,2.702016140353801,0.478149543235745,2.021850456764257
2.6,0.2917397761256337,2.708260223874369,0.472857783665642,2.02714221633436
2.7,0.2860757569852036,2.7139242430148,0.4680214820149187,2.031978517985083
2.8,0.280937913487831,2.719062086512172,0.4636014361568078,2.036398563843194
2.9,0.2762773611795364,2.723722638820467,0.4595618167531795,2.040438183246822
3.,0.2690391762976354,1.504371164470425,0.4592300027087149,2.724420762415971
3.1,0.256718810412907,1.516691530355153,0.4653734620293045,2.718277303095381
3.2,0.2455429777827967,1.527867362985264,0.4709881610433152,2.71266260408137
3.3,0.2354053535837034,1.538004987184357,0.4761196096686058,2.707531155456079
3.4,0.2262094912433215,1.547200849524739,0.4808094004691878,2.702841364655497
3.5,0.2178679026140155,1.555542438154045,0.4850955466832949,2.69855521844139
3.6,0.2103012267635923,1.563109114004468,0.489012789893415,2.69463797523127
3.7,0.2034374791307153,1.569972861637345,0.4925928799093421,2.691057885215342
3.8,0.1972113587197027,1.576198982048358,0.495864835346619,2.687785929778065
3.9,0.1915636274118184,1.581846713356242,0.4988551786676864,2.684795586456997
4.,0.1864405592505229,1.586969781517538,0.5015881457910075,2.682062619333677
4.1,0.1817934121864426,1.591616928581618,0.5040858896446528,2.679564875480031
4.2,0.1775779727064546,1.595832368061606,0.5063686562825449,2.677282108842139
4.3,0.1737541391388782,1.599656201629182,0.5084549472799329,2.675195817844751
4.4,0.1702855281475035,1.603124812620557,0.5103616748137599,2.673289090310924
4.5,0.1671391435379974,1.606271197230063,0.5121042923364723,2.671546472788212
4.6,0.1642850523220523,1.609125288446008,0.5136969241202181,2.669953841004466
4.7,0.1616961007497397,1.61171424001832,0.5151524794185411,2.668498285706143
4.8,0.1593476565480014,1.614062684220059,0.5164827568691504,2.667168008255534
4.9,0.1572173759133107,1.61619296485475,0.5176985395424862,2.665952225582198
5.,0.155284993721059,1.618125347047002,0.5188096810792076,2.664841084045476
