time,case00284`S1,case00284`S2,case00284`S3,case00284`S4
0,9.e-13,1.1e-12,1.199999999999999e-12,9.999999999999999e-13
0.08,8.400557718537553e-13,1.040055771853756e-12,1.259944228146243e-12,1.059944228146243e-12
0.16,7.963376229227377e-13,9.96337622922739e-13,1.303662377077261e-12,1.103662377077261e-12
0.24,7.64227925293035e-13,9.642279252930364e-13,1.335772074706963e-12,1.135772074706963e-12
0.32,7.405220392960921e-13,9.405220392960933e-13,1.359477960703907e-12,1.159477960703907e-12
0.4,7.229536147886791e-13,9.229536147886802e-13,1.37704638521132e-12,1.17704638521132e-12
0.48,7.098968204204153e-13,9.098968204204165e-13,1.390103179579583e-12,1.190103179579583e-12
0.56,7.001726626252111e-13,9.001726626252123e-13,1.399827337374787e-12,1.199827337374788e-12
0.64,6.929191828851798e-13,8.92919182885181e-13,1.407080817114819e-12,1.207080817114819e-12
0.72,6.875023374170364e-13,8.875023374170376e-13,1.412497662582962e-12,1.212497662582962e-12
0.8,6.834535474428855e-13,8.834535474428867e-13,1.416546452557113e-12,1.216546452557113e-12
0.88,6.804253359248561e-13,8.804253359248573e-13,1.419574664075142e-12,1.219574664075142e-12
0.96,6.781593451928065e-13,8.781593451928077e-13,1.421840654807192e-12,1.221840654807192e-12
1.04,6.764631007840647e-13,8.764631007840659e-13,1.423536899215934e-12,1.223536899215934e-12
1.12,6.751930032296877e-13,8.751930032296888e-13,1.424806996770311e-12,1.224806996770311e-12
1.2,6.742417977805702e-13,8.742417977805713e-13,1.425758202219428e-12,1.225758202219428e-12
1.28,6.735293090431055e-13,8.735293090431067e-13,1.426470690956893e-12,1.226470690956893e-12
1.36,6.729955670544258e-13,8.72995567054427e-13,1.427004432945573e-12,1.227004432945573e-12
1.44,6.72595693954707e-13,8.725956939547081e-13,1.427404306045292e-12,1.227404306045292e-12
1.52,6.722960953451508e-13,8.722960953451519e-13,1.427703904654848e-12,1.227703904654849e-12
1.6,6.72071614435039e-13,8.720716144350401e-13,1.42792838556496e-12,1.22792838556496e-12
1.68,6.719034108790614e-13,8.719034108790626e-13,1.428096589120937e-12,1.228096589120937e-12
1.76,6.717773730117266e-13,8.717773730117278e-13,1.428222626988272e-12,1.228222626988272e-12
1.84,6.71682928622695e-13,8.716829286226962e-13,1.428317071377303e-12,1.228317071377303e-12
1.92,6.71612157187204e-13,8.716121571872052e-13,1.428387842812794e-12,1.228387842812794e-12
2.,6.715591243272003e-13,8.715591243272015e-13,1.428440875672798e-12,1.228440875672798e-12
2.08,6.715193835105146e-13,8.715193835105158e-13,1.428480616489484e-12,1.228480616489484e-12
2.16,6.714896031405368e-13,8.71489603140538e-13,1.428510396859462e-12,1.228510396859462e-12
2.24,6.714672866729951e-13,8.714672866729962e-13,1.428532713327003e-12,1.228532713327003e-12
2.32,6.714505633594592e-13,8.714505633594604e-13,1.428549436640539e-12,1.228549436640539e-12
2.4,6.714380313594806e-13,8.714380313594818e-13,1.428561968640518e-12,1.228561968640518e-12
2.48,6.714286401971424e-13,8.714286401971436e-13,1.428571359802856e-12,1.228571359802856e-12
2.56,6.714216026870354e-13,8.714216026870366e-13,1.428578397312963e-12,1.228578397312963e-12
2.64,6.714163289400656e-13,8.714163289400667e-13,1.428583671059933e-12,1.228583671059933e-12
2.72,6.714123769121282e-13,8.714123769121294e-13,1.42858762308787e-12,1.22858762308787e-12
2.8,6.714094153483334e-13,8.714094153483346e-13,1.428590584651665e-12,1.228590584651665e-12
2.88,6.714071960152427e-13,8.714071960152439e-13,1.428592803984756e-12,1.228592803984756e-12
2.96,6.714055328878948e-13,8.71405532887896e-13,1.428594467112104e-12,1.228594467112104e-12
3.04,6.714042865772987e-13,8.714042865772998e-13,1.4285957134227e-12,1.2285957134227e-12
3.12,6.71403352625374e-13,8.714033526253752e-13,1.428596647374624e-12,1.228596647374625e-12
3.2,6.714026527390398e-13,8.71402652739041e-13,1.428597347260959e-12,1.228597347260959e-12
3.28,6.714021282513982e-13,8.714021282513994e-13,1.4285978717486e-12,1.2285978717486e-12
3.36,6.714017352222644e-13,8.714017352222655e-13,1.428598264777734e-12,1.228598264777734e-12
3.44,6.714014406861412e-13,8.714014406861424e-13,1.428598559313858e-12,1.228598559313858e-12
3.52,6.714012199721171e-13,8.714012199721183e-13,1.428598780027881e-12,1.228598780027882e-12
3.6,6.714010545707929e-13,8.71401054570794e-13,1.428598945429206e-12,1.228598945429206e-12
3.68,6.714009306234894e-13,8.714009306234905e-13,1.428599069376509e-12,1.228599069376509e-12
3.76,6.714008377400882e-13,8.714008377400894e-13,1.42859916225991e-12,1.228599162259911e-12
3.84,6.714007681344259e-13,8.714007681344271e-13,1.428599231865573e-12,1.228599231865573e-12
3.92,6.714007159743914e-13,8.714007159743926e-13,1.428599284025607e-12,1.228599284025607e-12
4.,6.714006768861965e-13,8.714006768861976e-13,1.428599323113802e-12,1.228599323113802e-12
