time,case00248`S1,case00248`S2,case00248`S3
0,1.5,0.5,1.2
0.05,1.299985496560996,0.7000145034390036,1.2
0.1,1.126641525026983,0.8733584749730166,1.2
0.15,0.9764117642148529,1.023588235785146,1.2
0.2,0.8462140833809318,1.153785916619067,1.2
0.25,0.7333773598375736,1.266622640162426,1.2
0.3,0.6355866122349631,1.364413387765036,1.2
0.35,0.5508355931053332,1.449164406894666,1.2
0.4,0.4773855123680668,1.522614487631933,1.2
0.45,0.4137294835321176,1.586270516467881,1.2
0.5,0.3585615435754084,1.641438456424591,1.2
0.55,0.3107498671183085,1.689250132881691,1.2
0.6,0.269313547696544,1.730686452303455,1.2
0.65,0.2334024746979366,1.766597525302062,1.2
0.7,0.2022798932771273,1.797720106722872,1.2
0.75,0.1753072890481691,1.82469271095183,1.2
0.8,0.15193128439042,1.848068715609579,1.2
0.85,0.1316723004223858,1.868327699577613,1.2
0.9,0.1141147264688248,1.885885273531175,1.2
0.95,0.09889833330261203,1.901101666697387,1.2
1.,0.08571092499285017,1.914289075007149,1.2
1.05,0.0742819709025696,1.92571802909743,1.2
1.1,0.06437699571105147,1.935623004288948,1.2
1.15,0.05579277363208096,1.944207226367918,1.2
1.2,0.04835319340034563,1.951646806599653,1.2
1.25,0.04190563486385935,1.95809436513614,1.2
1.3,0.0363178147970108,1.963682185202988,1.2
1.35,0.03147508593288309,1.968524914067116,1.2
1.4,0.0272781022398277,1.972721897760171,1.2
1.45,0.02364076013253623,1.976359239867463,1.2
1.5,0.02048843065809825,1.979511569341901,1.2
1.55,0.01775644012220524,1.982243559877794,1.2
1.6,0.01538874332870667,1.984611256671293,1.2
1.65,0.01333676333122816,1.986663236668772,1.2
1.7,0.0115583986006115,1.988441601399388,1.2
1.75,0.01001716641038688,1.989982833589613,1.2
1.8,0.008681447977038996,1.991318552022961,1.2
1.85,0.007523837989730149,1.99247616201027,1.2
1.9,0.006520586219976133,1.993479413780024,1.2
1.95,0.005651111656711491,1.994348888343289,1.2
2.,0.004897575926906389,1.995102424073094,1.2
2.05,0.004244518300770421,1.99575548169923,1.2
2.1,0.003678541208322295,1.996321458791678,1.2
2.15,0.003188033656722964,1.996811966343278,1.2
2.2,0.002762931863346858,1.997237068136654,1.2
2.25,0.002394514015701908,1.997605485984299,1.2
2.3,0.002075222280598689,1.997924777719402,1.2
2.35,0.001798506076498999,1.998201493923502,1.2
2.4,0.001558687861637405,1.998441312138363,1.2
2.45,0.001350847625436771,1.998649152374564,1.2
2.5,0.00117072168928723,1.998829278310713,1.2
