time,case00214`S1,case00214`S2,case00214`S3
0,1.00000E-15,2.00000E-15,1.00000E-15
0.4,1.00000E-15,2.09516E-15,9.04837E-16
0.8,1.00000E-15,2.18127E-15,8.18731E-16
1.2,1.00000E-15,2.25918E-15,7.40818E-16
1.6,1.00000E-15,2.32968E-15,6.70320E-16
2,1.00000E-15,2.39347E-15,6.06531E-16
2.4,1.00000E-15,2.45119E-15,5.48812E-16
2.8,1.00000E-15,2.50341E-15,4.96585E-16
3.2,1.00000E-15,2.55067E-15,4.49329E-16
3.6,1.00000E-15,2.59343E-15,4.06570E-16
4,1.00000E-15,2.63212E-15,3.67879E-16
4.4,1.00000E-15,2.66713E-15,3.32871E-16
4.8,1.00000E-15,2.69881E-15,3.01194E-16
5.2,1.00000E-15,2.72747E-15,2.72532E-16
5.6,1.00000E-15,2.75340E-15,2.46597E-16
6,1.00000E-15,2.77687E-15,2.23130E-16
6.4,1.00000E-15,2.79810E-15,2.01897E-16
6.8,1.00000E-15,2.81732E-15,1.82684E-16
7.2,1.00000E-15,2.83470E-15,1.65299E-16
7.6,1.00000E-15,2.85043E-15,1.49569E-16
8,1.00000E-15,2.86466E-15,1.35335E-16
8.4,1.00000E-15,2.87754E-15,1.22456E-16
8.8,1.00000E-15,2.88920E-15,1.10803E-16
9.2,1.00000E-15,2.89974E-15,1.00259E-16
9.6,1.00000E-15,2.90928E-15,9.07180E-17
10,1.00000E-15,2.91792E-15,8.20850E-17
10.4,1.00000E-15,2.92573E-15,7.42736E-17
10.8,1.00000E-15,2.93279E-15,6.72055E-17
11.2,1.00000E-15,2.93919E-15,6.08101E-17
11.6,1.00000E-15,2.94498E-15,5.50232E-17
12,1.00000E-15,2.95021E-15,4.97871E-17
12.4,1.00000E-15,2.95495E-15,4.50492E-17
12.8,1.00000E-15,2.95924E-15,4.07622E-17
13.2,1.00000E-15,2.96312E-15,3.68832E-17
13.6,1.00000E-15,2.96663E-15,3.33733E-17
14,1.00000E-15,2.96980E-15,3.01974E-17
14.4,1.00000E-15,2.97268E-15,2.73237E-17
14.8,1.00000E-15,2.97528E-15,2.47235E-17
15.2,1.00000E-15,2.97763E-15,2.23708E-17
15.6,1.00000E-15,2.97976E-15,2.02419E-17
16,1.00000E-15,2.98168E-15,1.83156E-17
16.4,1.00000E-15,2.98343E-15,1.65727E-17
16.8,1.00000E-15,2.98500E-15,1.49956E-17
17.2,1.00000E-15,2.98643E-15,1.35686E-17
17.6,1.00000E-15,2.98772E-15,1.22773E-17
18,1.00000E-15,2.98889E-15,1.11090E-17
18.4,1.00000E-15,2.98995E-15,1.00518E-17
18.8,1.00000E-15,2.99090E-15,9.09528E-18
19.2,1.00000E-15,2.99177E-15,8.22975E-18
19.6,1.00000E-15,2.99255E-15,7.44658E-18
20,1.00000E-15,2.99326E-15,6.73795E-18
