time,X-mean,X-sd
0,0,0
1,0.897735417,0.995203412
2,0.897735417,0.995203412
3,0.897735417,0.995203412
4,0.897735417,0.995203412
5,0.897735417,0.995203412
6,0.897735417,0.995203412
7,0.897735417,0.995203412
8,0.897735417,0.995203412
9,0.897735417,0.995203412
10,0.897735417,0.995203412
11,0.897735417,0.995203412
12,0.897735417,0.995203412
13,0.897735417,0.995203412
14,0.897735417,0.995203412
15,0.897735417,0.995203412
16,0.897735417,0.995203412
17,0.897735417,0.995203412
18,0.897735417,0.995203412
19,0.897735417,0.995203412
20,0.897735417,0.995203412
21,0.897735417,0.995203412
22,0.897735417,0.995203412
23,0.897735417,0.995203412
24,0.897735417,0.995203412
25,0.897735417,0.995203412
26,0.897735417,0.995203412
27,0.897735417,0.995203412
28,0.897735417,0.995203412
29,0.897735417,0.995203412
30,0.897735417,0.995203412
31,0.897735417,0.995203412
32,0.897735417,0.995203412
33,0.897735417,0.995203412
34,0.897735417,0.995203412
35,0.897735417,0.995203412
36,0.897735417,0.995203412
37,0.897735417,0.995203412
38,0.897735417,0.995203412
39,0.897735417,0.995203412
40,0.897735417,0.995203412
41,0.897735417,0.995203412
42,0.897735417,0.995203412
43,0.897735417,0.995203412
44,0.897735417,0.995203412
45,0.897735417,0.995203412
46,0.897735417,0.995203412
47,0.897735417,0.995203412
48,0.897735417,0.995203412
49,0.897735417,0.995203412
50,0.897735417,0.995203412
