time,case00205`S1,case00205`S2
0,1.5e-005,0
0.4,1.34644e-005,1.53559e-006
0.8,1.2086e-005,2.91397e-006
1.2,1.08488e-005,4.15125e-006
1.6,9.73814e-006,5.26186e-006
2,8.74122e-006,6.25878e-006
2.4,7.84636e-006,7.15364e-006
2.8,7.04311e-006,7.95689e-006
3.2,6.32209e-006,8.67791e-006
3.6,5.67488e-006,9.32512e-006
4,5.09393e-006,9.90607e-006
4.4,4.57245e-006,1.04275e-005
4.8,4.10436e-006,1.08956e-005
5.2,3.68419e-006,1.13158e-005
5.6,3.30703e-006,1.1693e-005
6,2.96848e-006,1.20315e-005
6.4,2.66459e-006,1.23354e-005
6.8,2.39181e-006,1.26082e-005
7.2,2.14695e-006,1.2853e-005
7.6,1.92717e-006,1.30728e-005
8,1.72988e-006,1.32701e-005
8.4,1.55279e-006,1.34472e-005
8.8,1.39382e-006,1.36062e-005
9.2,1.25113e-006,1.37489e-005
9.6,1.12305e-006,1.38769e-005
10,1.00808e-006,1.39919e-005
10.4,9.04883e-007,1.40951e-005
10.8,8.12248e-007,1.41878e-005
11.2,7.29096e-007,1.42709e-005
11.6,6.54457e-007,1.43455e-005
12,5.87458e-007,1.44125e-005
12.4,5.27319e-007,1.44727e-005
12.8,4.73336e-007,1.45267e-005
13.2,4.24879e-007,1.45751e-005
13.6,3.81384e-007,1.46186e-005
14,3.4234e-007,1.46577e-005
14.4,3.07294e-007,1.46927e-005
14.8,2.75836e-007,1.47242e-005
15.2,2.47598e-007,1.47524e-005
15.6,2.22251e-007,1.47777e-005
16,1.99498e-007,1.48005e-005
16.4,1.79075e-007,1.48209e-005
16.8,1.60743e-007,1.48393e-005
17.2,1.44287e-007,1.48557e-005
17.6,1.29516e-007,1.48705e-005
18,1.16257e-007,1.48837e-005
18.4,1.04356e-007,1.48956e-005
18.8,9.36726e-008,1.49063e-005
19.2,8.40831e-008,1.49159e-005
19.6,7.54753e-008,1.49245e-005
20,6.77487e-008,1.49323e-005
