time,case00593`S1,case00593`S2,case00593`S3
0,1.e-15,2.e-15,1.e-15
0.3,1.072256513688993e-15,2.072256513688992e-15,9.27743486311007e-16
0.6,1.139292023596218e-15,2.139292023596217e-15,8.607079764037815e-16
0.9,1.201483781304007e-15,2.201483781304006e-15,7.985162186959921e-16
1.2,1.259181780831938e-15,2.259181780831936e-15,7.408182191680616e-16
1.5,1.312710723510244e-15,2.312710723510243e-15,6.872892764897546e-16
1.8,1.36237184976372e-15,2.362371849763719e-15,6.376281502362793e-16
2.1,1.408444648295139e-15,2.408444648295138e-15,5.915553517048602e-16
2.4,1.451188364098021e-15,2.45118836409802e-15,5.488116359019779e-16
2.7,1.490843588867804e-15,2.490843588867802e-15,5.091564111321953e-16
3.,1.527633454041101e-15,2.527633454041099e-15,4.723665459588984e-16
3.3,1.561765009004549e-15,2.561765009004547e-15,4.382349909954504e-16
3.6,1.593430349481016e-15,2.593430349481015e-15,4.065696505189834e-16
3.9,1.622807648245869e-15,2.622807648245867e-15,3.771923517541303e-16
4.2,1.650062261830578e-15,2.650062261830577e-15,3.499377381694212e-16
4.5,1.675347550228796e-15,2.675347550228795e-15,3.246524497712027e-16
4.8,1.698805811033845e-15,2.698805811033844e-15,3.011941889661545e-16
5.1,1.720569058063832e-15,2.720569058063831e-15,2.79430941936167e-16
5.4,1.740759766719771e-15,2.74075976671977e-15,2.59240233280228e-16
5.7,1.759491563092586e-15,2.759491563092584e-15,2.405084369074134e-16
6.,1.776869863296329e-15,2.776869863296328e-15,2.231301367036702e-16
6.3,1.792992466621081e-15,2.79299246662108e-15,2.070075333789177e-16
6.6,1.807950105839954e-15,2.807950105839953e-15,1.920498941600452e-16
6.9,1.821826957764133e-15,2.821826957764131e-15,1.781730422358668e-16
7.2,1.834701116916643e-15,2.834701116916641e-15,1.652988830833568e-16
7.5,1.846645034988132e-15,2.846645034988131e-15,1.533549650118675e-16
7.8,1.857725928545901e-15,2.8577259285459e-15,1.422740714540984e-16
8.1,1.868006157238035e-15,2.868006157238034e-15,1.319938427619646e-16
8.4,1.877543573938225e-15,2.877543573938223e-15,1.224564260617749e-16
8.7,1.88639185078045e-15,2.886391850780448e-15,1.136081492195503e-16
9.,1.894600781994113e-15,2.894600781994111e-15,1.053992180058872e-16
9.3,1.902216564072457e-15,2.902216564072455e-15,9.778343592754325e-17
9.6,1.909282055684811e-15,2.90928205568481e-15,9.071794431518854e-17
9.9,1.915837018816398e-15,2.915837018816396e-15,8.416298118360178e-17
10.2,1.921918342490993e-15,2.921918342490991e-15,7.808165750900688e-17
10.5,1.927560250333973e-15,2.927560250333971e-15,7.243974966602717e-17
10.8,1.932794493142527e-15,2.932794493142526e-15,6.720550685747296e-17
11.1,1.937650527545627e-15,2.937650527545626e-15,6.234947245437274e-17
11.4,1.942155681758214e-15,2.942155681758212e-15,5.784431824178648e-17
11.7,1.946335309361571e-15,2.946335309361569e-15,5.366469063842962e-17
12.,1.950212931974597e-15,2.950212931974595e-15,4.97870680254036e-17
12.3,1.953810371618258e-15,2.953810371618256e-15,4.618962838174192e-17
12.6,1.957147873444982e-15,2.957147873444981e-15,4.285212655501775e-17
12.9,1.96024421941363e-15,2.960244219413629e-15,3.975578058636987e-17
13.2,1.963116834343326e-15,2.963116834343324e-15,3.688316565667456e-17
13.5,1.96578188408216e-15,2.965781884082158e-15,3.421811591784047e-17
13.8,1.968254366458242e-15,2.96825436645824e-15,3.174563354175886e-17
14.1,1.970548195661848e-15,2.970548195661846e-15,2.945180433815239e-17
14.4,1.972676280532914e-15,2.972676280532912e-15,2.732371946708662e-17
14.7,1.974650595002351e-15,2.974650595002349e-15,2.534940499764986e-17
15.,1.976482254143933e-15,2.976482254143932e-15,2.351774585606756e-17
