time,case00844`S1,case00844`S2,case00844`S3
0,1.e-15,2.e-15,1.e-15
0.5,1.11750309741768e-15,2.117503097417681e-15,8.824969025823196e-16
1.,1.221199216931132e-15,2.221199216931133e-15,7.788007830688677e-16
1.5,1.312710721208988e-15,2.312710721208991e-15,6.872892787910111e-16
2.,1.393469340288915e-15,2.393469340288916e-15,6.06530659711085e-16
2.5,1.464738571481554e-15,2.464738571481555e-15,5.352614285184455e-16
3.,1.527633447261109e-15,2.527633447261111e-15,4.723665527388909e-16
3.5,1.583137980321996e-15,2.583137980321996e-15,4.168620196780038e-16
4.,1.632120558829555e-15,2.632120558829555e-15,3.678794411704448e-16
4.5,1.675347532643015e-15,2.675347532643013e-15,3.246524673569856e-16
5.,1.713495203140169e-15,2.713495203140171e-15,2.865047968598309e-16
5.5,1.747160404196387e-15,2.747160404196388e-15,2.528395958036134e-16
6.,1.776869839851849e-15,2.776869839851849e-15,2.231301601481522e-16
6.5,1.803088324796208e-15,2.803088324796209e-15,1.969116752037916e-16
7.,1.826226056550165e-15,2.826226056550165e-15,1.737739434498351e-16
7.5,1.846645033155092e-15,2.846645033155092e-15,1.533549668449083e-16
8.,1.864664716763912e-15,2.864664716763913e-15,1.353352832360882e-16
8.5,1.880567031733279e-15,2.88056703173328e-15,1.194329682667213e-16
9.,1.894600775438495e-15,2.894600775438496e-15,1.053992245615057e-16
9.5,1.906985510789457e-15,2.906985510789458e-15,9.301448921054378e-17
10.,1.917915001376073e-15,2.917915001376074e-15,8.208499862392908e-17
10.5,1.927560242965972e-15,2.927560242965973e-15,7.243975703403031e-17
11.,1.936072138793262e-15,2.936072138793263e-15,6.392786120673985e-17
11.5,1.943583860496396e-15,2.943583860496397e-15,5.641613950360539e-17
12.,1.950212931632111e-15,2.950212931632111e-15,4.978706836789121e-17
12.5,1.956063066376688e-15,2.956063066376688e-15,4.393693362331443e-17
13.,1.961225792168394e-15,2.961225792168396e-15,3.877420783160909e-17
13.5,1.965781881688317e-15,2.965781881688319e-15,3.421811831168554e-17
14.,1.969802616577769e-15,2.969802616577771e-15,3.019738342223319e-17
14.5,1.973350902663624e-15,2.973350902663626e-15,2.664909733637778e-17
15.,1.976482254144021e-15,2.976482254144023e-15,2.351774585598259e-17
15.5,1.979245662126357e-15,2.979245662126359e-15,2.075433787364533e-17
16.,1.981684361111234e-15,2.981684361111236e-15,1.831563888876795e-17
16.5,1.983836505411866e-15,2.983836505411867e-15,1.616349458813695e-17
17.,1.985735766090968e-15,2.985735766090969e-15,1.426423390903408e-17
17.5,1.987411857757558e-15,2.98741185775756e-15,1.258814224244421e-17
18.,1.988891003461762e-15,2.988891003461764e-15,1.11089965382393e-17
18.5,1.990196344964143e-15,2.990196344964145e-15,9.803655035858355e-18
19.,1.991348304796877e-15,2.991348304796879e-15,8.651695203124653e-18
19.5,1.992364905781128e-15,2.99236490578113e-15,7.635094218872652e-18
20.,1.993262053000911e-15,2.993262053000913e-15,6.737946999088842e-18
20.5,1.994053782643506e-15,2.994053782643507e-15,5.946217356494983e-18
21.,1.99475248160082e-15,2.994752481600822e-15,5.247518399180884e-18
21.5,1.995369081266461e-15,2.995369081266462e-15,4.630918733541294e-18
22.,1.995913228561536e-15,2.995913228561537e-15,4.086771438466449e-18
22.5,1.996393436863977e-15,2.996393436863979e-15,3.606563136026321e-18
23.,1.996817219203485e-15,2.996817219203486e-15,3.182780796518525e-18
23.5,1.99719120580547e-15,2.997191205805471e-15,2.808794194533678e-18
24.,1.997521247823324e-15,2.997521247823326e-15,2.478752176679049e-18
24.5,1.997812508881801e-15,2.997812508881803e-15,2.187491118201426e-18
25.,1.998069545863759e-15,2.998069545863761e-15,1.930454136243871e-18
